funcion,nombre_funcion,metodo,nombre_metodo,dimension,n_corridas,mejor_valor,peor_valor,promedio_valor,mediana_valor,desviacion_valor,mejor_distancia_al_optimo,promedio_distancia_al_optimo,promedio_evaluaciones,mediana_evaluaciones,promedio_iteraciones,mediana_iteraciones
schwefel,Schwefel,ea,Algoritmo evolutivo,2,100,0.0062474233462808115,4.800415458998941,0.4834690814738963,0.27745518244546474,0.6436337161191871,0.22204758162157504,1.6684034514979522,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,ea,Algoritmo evolutivo,2,500,0.0052837409009498515,4.800415458998941,0.6378659897447121,0.37057165601163433,0.764176931024791,0.20413817884694727,1.9497137457058205,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,ea,Algoritmo evolutivo,2,1000,0.0052837409009498515,4.800415458998941,0.8411850369314141,0.4686689806475215,0.9864176211005977,0.20413817884694727,2.2431350082041135,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,pso,PSO,2,100,2.5455132345086895e-05,118.43836006957054,8.296264659210792,2.5455132458773733e-05,30.217675691111744,3.3720263014033905e-07,50.68653238055344,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,pso,PSO,2,500,2.5455132345086895e-05,118.43836006957054,15.871873449703244,2.5455132458773733e-05,40.34585772798892,1.306264983818808e-07,96.95655140659353,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,pso,PSO,2,1000,2.5455132345086895e-05,118.43836006957054,13.265674510067576,2.5455132458773733e-05,37.351281266070515,1.306264983818808e-07,81.03549172835827,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,de,Evolucion diferencial,2,100,2.5455132345086895e-05,2.5455132345086895e-05,2.5455132345086895e-05,2.5455132345086895e-05,0.0,1.3200148351333569e-07,6.148978229492477e-07,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,de,Evolucion diferencial,2,500,2.5455132345086895e-05,2.5455132345086895e-05,2.5455132345086895e-05,2.5455132345086895e-05,0.0,1.3200148351333569e-07,6.409335589384196e-07,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,de,Evolucion diferencial,2,1000,2.5455132345086895e-05,2.5455132345086895e-05,2.5455132345086895e-05,2.5455132345086895e-05,0.0,1.3200148351333569e-07,6.465422315713705e-07,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,ea,Algoritmo evolutivo,3,100,0.06361548640552428,14.573965502333067,3.713478774342329,3.158142118702017,3.4085839942089415,0.709878450130533,4.877047154523837,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,ea,Algoritmo evolutivo,3,500,0.01254836993985009,21.11023207492258,4.483891226420597,3.0167916559280457,5.421881985675886,0.3148641603120349,5.055153060584343,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,ea,Algoritmo evolutivo,3,1000,0.01254836993985009,21.11023207492258,4.713732105533154,3.0167916559280457,5.624607061758064,0.3148641603120349,5.185111120806856,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,pso,PSO,3,100,3.818269874500402e-05,356.8321015381812,41.49898677716167,3.818270022293291e-05,82.86803133912171,7.034149908644547e-07,206.29166194758164,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,pso,PSO,3,500,3.818269874500402e-05,356.8321015381812,76.52030864326574,118.43837279713716,62.788717173990435,7.034149908644547e-07,457.99073961240885,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,pso,PSO,3,1000,3.818269874500402e-05,356.8321015381812,78.4107688493738,118.43837279713807,59.211606728630414,7.034149908644547e-07,474.2597432296005,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,de,Evolucion diferencial,3,100,3.818322420556797e-05,3.8488593645524816e-05,3.821200230049726e-05,3.819661378656747e-05,5.989763518259052e-08,6.493957812899728e-05,0.000379855124542665,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,de,Evolucion diferencial,3,500,3.8182909520401154e-05,3.8488593645524816e-05,3.8195229752545855e-05,3.818659206444863e-05,3.042315925228427e-08,4.085221361987296e-05,0.00023959054544033643,7050.0,7050.0,140.0,140.0
schwefel,Schwefel,de,Evolucion diferencial,3,1000,3.8182909520401154e-05,3.8488593645524816e-05,3.819314768929871e-05,3.818626078100351e-05,2.29658811078988e-08,4.085221361987296e-05,0.0002265668332078723,7050.0,7050.0,140.0,140.0
