Metodo,Mejor valor,Promedio valor,Mediana valor,Promedio evaluaciones,Promedio iteraciones,Mejor en valor,Mejor en evaluaciones
Evolucion diferencial,3.8182909520401154e-05,3.819314768929871e-05,3.818626078100351e-05,7050.0,140.0,Si,Si
Algoritmo evolutivo,0.01254836993985,4.713732105533154,3.0167916559280457,7050.0,140.0,,Si
PSO,3.818269874500402e-05,78.4107688493738,118.43837279713809,7050.0,140.0,,Si
Descenso por gradiente,-7.734811229131992,565.9242733829415,517.5526617400373,10002.0,10000.0,,
