Metodo,Mejor valor,Promedio valor,Mediana valor,Promedio evaluaciones,Promedio iteraciones,Mejor en valor,Mejor en evaluaciones
PSO,3.0029423392363697e-11,0.0154231321145913,0.0117265928020404,7050.0,140.0,Si,
Descenso por gradiente,0.0073986045126203,0.0347518469827351,0.0295866940992436,2002.0,2000.0,,Si
Evolucion diferencial,0.0084054714579401,0.0463119132656718,0.0537108418550104,7050.0,140.0,,
Algoritmo evolutivo,0.0435493984361536,0.2801144304703706,0.2441307636993459,7050.0,140.0,,
