Metodo,Mejor valor,Promedio valor,Mediana valor,Promedio evaluaciones,Promedio iteraciones,Mejor en valor,Mejor en evaluaciones
Evolucion diferencial,2.545513234508689e-05,2.545513234508689e-05,2.545513234508689e-05,7050.0,140.0,Si,Si
Algoritmo evolutivo,0.0052837409009498,0.8411850369314141,0.4686689806475215,7050.0,140.0,,Si
PSO,2.545513234508689e-05,13.265674510067576,2.5455132458773733e-05,7050.0,140.0,,Si
Descenso por gradiente,-15.320704437402584,376.5857312433401,341.4622723733217,10002.0,10000.0,,
