funcion,nombre_funcion,metodo,dimension,n_corridas,mejor_valor_final,peor_valor_final,promedio_valor_final,mediana_valor_final,desviacion_valor_final,promedio_evaluaciones,mediana_evaluaciones,promedio_iteraciones,mediana_iteraciones
schwefel,Schwefel,gradient,2,100,-15.320704437402583,985.8724890275221,369.8384893569435,416.59902847437223,254.48631573873357,10002.0,10002.0,10000.0,10000.0
schwefel,Schwefel,gradient,2,500,-15.320704437402583,1225.6343359268035,430.8051486810953,401.59510306391934,317.5677675724844,10002.0,10002.0,10000.0,10000.0
schwefel,Schwefel,gradient,2,1000,-15.320704437402583,1225.6343359268035,376.5857312433401,341.4622723733217,291.54845664740805,10002.0,10002.0,10000.0,10000.0
schwefel,Schwefel,gradient,3,100,-7.734811229131992,1203.4953130359042,538.4721891000758,542.684234157301,325.66298142955094,10002.0,10002.0,10000.0,10000.0
schwefel,Schwefel,gradient,3,500,-7.734811229131992,1450.1563844436575,650.6067753744491,660.4839840801403,354.56328819211365,10002.0,10002.0,10000.0,10000.0
schwefel,Schwefel,gradient,3,1000,-7.734811229131992,1450.1563844436575,565.9242733829415,517.5526617400373,351.7058546985877,10002.0,10002.0,10000.0,10000.0
