experimento,inject_aco_seed,generacion,mejor_costo
seed_aco_true,True,180,3975.266333
seed_aco_true,True,181,3975.266333
seed_aco_true,True,182,3975.266333
seed_aco_true,True,183,3975.266333
seed_aco_true,True,184,3975.266333
seed_aco_true,True,185,3975.266333
seed_aco_true,True,186,3975.266333
seed_aco_true,True,187,3975.266333
seed_aco_true,True,188,3975.266333
seed_aco_true,True,189,3975.266333
seed_aco_true,True,190,3975.266333
seed_aco_true,True,191,3975.266333
seed_aco_true,True,192,3975.266333
seed_aco_true,True,193,3975.266333
seed_aco_true,True,194,3975.266333
seed_aco_true,True,195,3975.266333
seed_aco_true,True,196,3975.266333
seed_aco_true,True,197,3975.266333
seed_aco_true,True,198,3975.266333
seed_aco_true,True,199,3975.266333
seed_aco_true,True,200,3975.266333
seed_aco_false,False,1,19408.174992
seed_aco_false,False,2,19011.97331
seed_aco_false,False,3,18890.128977
seed_aco_false,False,4,18247.915992
seed_aco_false,False,5,17997.963988
seed_aco_false,False,6,17290.998322
seed_aco_false,False,7,16961.545988
seed_aco_false,False,8,16521.414982
seed_aco_false,False,9,16043.635987
seed_aco_false,False,10,15760.805318
seed_aco_false,False,11,15461.879653
seed_aco_false,False,12,15135.06498
seed_aco_false,False,13,14692.697321
seed_aco_false,False,14,13931.23198
seed_aco_false,False,15,13931.23198
seed_aco_false,False,16,13931.23198
seed_aco_false,False,17,13492.789317
seed_aco_false,False,18,13475.06499
seed_aco_false,False,19,13475.06499
seed_aco_false,False,20,13273.563651
seed_aco_false,False,21,13143.014318
seed_aco_false,False,22,12931.769318
seed_aco_false,False,23,12855.075651
seed_aco_false,False,24,12734.797987
seed_aco_false,False,25,12734.797987
seed_aco_false,False,26,12642.553984
seed_aco_false,False,27,12496.334989
seed_aco_false,False,28,12370.372321
seed_aco_false,False,29,12297.547987
seed_aco_false,False,30,12201.081991
seed_aco_false,False,31,12108.19099
seed_aco_false,False,32,11848.560992
seed_aco_false,False,33,11848.560992
seed_aco_false,False,34,11782.897655
seed_aco_false,False,35,11750.355658
seed_aco_false,False,36,11475.787656
seed_aco_false,False,37,11390.257656
seed_aco_false,False,38,11327.643655
seed_aco_false,False,39,11166.053656
seed_aco_false,False,40,11078.160659
seed_aco_false,False,41,11004.980658
seed_aco_false,False,42,10824.741657
seed_aco_false,False,43,10781.243992
seed_aco_false,False,44,10708.562658
seed_aco_false,False,45,10425.92466
seed_aco_false,False,46,10406.450328
seed_aco_false,False,47,10344.124326
seed_aco_false,False,48,10265.14366
seed_aco_false,False,49,10265.14366
seed_aco_false,False,50,10265.14366
seed_aco_false,False,51,10251.969327
seed_aco_false,False,52,10166.809994
seed_aco_false,False,53,10166.809994
seed_aco_false,False,54,10136.989328
seed_aco_false,False,55,10103.28666
seed_aco_false,False,56,10063.41866
seed_aco_false,False,57,9970.993327
seed_aco_false,False,58,9970.993327
seed_aco_false,False,59,9970.993327
seed_aco_false,False,60,9868.799327
seed_aco_false,False,61,9864.709327
seed_aco_false,False,62,9864.709327
seed_aco_false,False,63,9762.515327
seed_aco_false,False,64,9695.447994
seed_aco_false,False,65,9648.627994
seed_aco_false,False,66,9639.907328
seed_aco_false,False,67,9639.907328
seed_aco_false,False,68,9613.021994
seed_aco_false,False,69,9613.021994
