corrida,dimension,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones
1,2,"[1.0578460505252765, -1.947291990184749]","[0.1756822959943384, 0.02834449462483747]",0.6801346034907569,1000,1002
2,2,"[-1.9573819329372273, -0.7224925423634792]","[-0.14759885254325975, 0.025091379647105484]",1.318076062436342,1000,1002
3,2,"[-0.04651749210248912, 1.107588783340721]","[-0.10634773475296266, 0.013770880857555071]",1.2246109820650777,1000,1002
4,2,"[0.7507778625802453, -0.22158251468083878]","[0.4381213374943513, 0.18915772679695586]",0.3164874814451082,1000,1002
5,2,"[-0.9272251749102967, 2.0362219526459846]","[-1.2971012081710669, 1.690180346107335]",5.282616523205744,1000,1002
6,2,"[-0.3023613860414549, -0.19911874834564913]","[0.016674330688450877, 0.00014394530222604164]",0.9669311698862255,1000,1002
7,2,"[-1.377796828398923, 1.2075399116797105]","[-1.066082115374515, 1.144473301011333]",4.27500320013759,1000,1002
8,2,"[0.7933223968009773, -1.1437276660172375]","[0.22136075014107598, 0.046147956422457455]",0.6070928285199984,1000,1002
9,2,"[-1.7105672371575085, 0.7393251412980248]","[-0.913726705005687, 0.8429547873781208]",3.668843514793671,1000,1002
10,2,"[0.6328779336955299, -0.9287289774153347]","[0.23534601722011914, 0.05246419866362502]",0.585550427348911,1000,1002
11,2,"[1.8467371509776807, -1.4292668752654327]","[0.23454575693584306, 0.05209184980815053]",0.5867727578032768,1000,1002
12,2,"[-0.2771566549295026, 1.817050809006485]","[-0.9807039287754421, 0.9697944930462293]",3.929610949316293,1000,1002
13,2,"[-0.32879690987060295, 0.5674022816320945]","[-0.3928127793153268, 0.1611126454372248]",1.9445660913619833,1000,1002
14,2,"[-0.41945334594439454, -0.9248145311798477]","[0.1169173055380808, 0.011819581616143014]",0.7801773229043942,1000,1002
15,2,"[1.9823724460434562, -0.37136791013358383]","[0.5642033971764068, 0.31615767840723286]",0.19038861253932055,1000,1002
16,2,"[1.6142303382697345, -1.106105934270111]","[0.28153580678489765, 0.07619716508607584]",0.5171303698782266,1000,1002
17,2,"[-1.1751231323132587, -1.9204747965050415]","[0.1439982074125012, 0.018542651640129033]",0.7332199201739625,1000,1002
18,2,"[0.6212273167396254, -0.5385160961074744]","[0.3088184877144327, 0.09227900462573663]",0.47868660253171186,1000,1002
19,2,"[1.4924113913431536, -0.1097322221913819]","[0.6206366253558816, 0.38333319716999675]",0.14426127512689446,1000,1002
20,2,"[1.9177202807387004, -1.288087487680016]","[0.26030322839077363, 0.06474088280694014]",0.5480614751914727,1000,1002
21,2,"[1.5098804959461818, 1.1329407090349743]","[1.125304228353478, 1.266774685394002]",0.015722779494957397,1000,1002
22,2,"[1.109695875662037, 1.4122321023667719]","[1.1705340694918231, 1.3707661809224352]",0.02911983578405963,1000,1002
23,2,"[1.0691542669025234, 0.5169984374022776]","[0.8197978224959077, 0.6712667450666583]",0.032537101027055974,1000,1002
24,2,"[-1.5104209810129405, -1.9147727688038323]","[0.1393775421956119, 0.017287650184813073]",0.7411283113256134,1000,1002
25,2,"[1.7237927846530532, 0.4777996882769431]","[0.8985944085818169, 0.807040805336354]",0.01030167919179145,1000,1002
26,2,"[1.2146167438384183, -0.07568444820459486]","[0.5929385075048782, 0.3495660935466652]",0.16610306068684538,1000,1002
27,2,"[-1.5675056580100324, -1.5352389951383534]","[0.1127249283570497, 0.010915008659608424]",0.7875781436115424,1000,1002
28,2,"[0.7600754164898667, -0.28546705449180076]","[0.41682714258136727, 0.17086901531252946]",0.3409176338033252,1000,1002
29,2,"[-1.2266507194354208, -0.03442873654707457]","[-0.4273714254841045, 0.1897297175487953]",2.042406616667999,1000,1002
30,2,"[-1.7850001937402509, 0.3357548622413775]","[-0.7324838138203493, 0.5446005953804932]",3.0080095209315956,1000,1002
31,2,"[-0.9462030154338399, 1.2188020762099225]","[-0.9944022168697945, 0.9968395067403706]",3.9840461845719783,1000,1002
32,2,"[-0.7767574162490418, -0.1834182693609423]","[-0.2023324479507431, 0.04527293067497752]",1.4474821141132534,1000,1002
33,2,"[-2.00040226853642, -1.7512575475934868]","[0.12234674530567892, 0.013045322543602]",0.7706451835945692,1000,1002
34,2,"[-0.440346392958219, -0.08217053299866217]","[-0.10459119609210134, 0.013363426145568286]",1.2207093403688851,1000,1002
35,2,"[0.40968416509666783, -0.853350077606694]","[0.21931502684182066, 0.04525800325697724]",0.6102761995883978,1000,1002
36,2,"[0.7986458055743184, 1.4750613388869822]","[1.133988715987311, 1.2864251525670007]",0.017977453231916792,1000,1002
37,2,"[1.1462696505071608, -1.8857212913731292]","[0.1793511357520666, 0.02961436463444357]",0.6741160662823417,1000,1002
