corrida,dimension,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones
1,2,"[-0.5138836732012033, 1.8461257990550166]","[-1.1194858109050954, 1.2611398875330082]",4.49844753262245,1000,1002
2,2,"[0.9502471856595154, 0.40410515127106184]","[0.7477675849757781, 0.557989621258097]",0.06375731938427204,1000,1002
3,2,"[-1.40894764874778, -1.409046444702914]","[0.10433233500050698, 0.00921380409739421]",0.802499934628489,1000,1002
4,2,"[-1.8100895245590551, 1.4998574930941344]","[-1.2264434155332193, 1.5119461688546167]",4.963107351505958,1000,1002
5,2,"[0.4141670881001831, 0.8522652786526024]","[0.7619384312156902, 0.5794570815111595]",0.05679279542434872,1000,1002
6,2,"[-1.9636859113643932, 1.9247507544555287]","[-1.3848398292385165, 1.925398520678589]",5.693263136007036,1000,1002
7,2,"[1.3616850567185277, -1.1782590026617807]","[0.2524254638423347, 0.06072675907196104]",0.5597628071787056,1000,1002
8,2,"[-1.3032449343197159, -1.296775127640335]","[0.09458652945556223, 0.007421648570027347]",0.8200061038537089,1000,1002
9,2,"[-0.8018237728377335, 0.1014023439656464]","[-0.38310413846617186, 0.15349431665206187]",1.9175003409441504,1000,1002
10,2,"[-0.2787532036418938, -0.8551254417488203]","[0.12881744622281446, 0.01458613699044315]",0.7593621670701484,1000,1002
11,2,"[0.45814945678286634, -1.4766331467692366]","[0.17962566924037374, 0.029710512528718615]",0.6736667778854348,1000,1002
12,2,"[-0.8513755195997466, -0.5473818898690388]","[-0.044019906370990736, 0.0030674046607615827]",1.090105176376838,1000,1002
13,2,"[-0.17993734464702094, 1.1680807378657838]","[-0.561449553850498, 0.32299025983357343]",2.4441537010942462,1000,1002
14,2,"[-1.2301361882793587, 0.05830425974215325]","[-0.48348183446185855, 0.24118835554079393]",2.2062443000574334,1000,1002
15,2,"[0.37853007405892614, -1.8577391094988893]","[0.16732028253196546, 0.025554801410996104]",0.6939514945067082,1000,1002
16,2,"[0.44050371338829164, -1.3495331893768538]","[0.18443425758680385, 0.03141999169355846]",0.665821403707626,1000,1002
17,2,"[-1.781548675132295, 1.8386351605896532]","[-1.3410052114154707, 1.805957795824083]",5.486177279040874,1000,1002
18,2,"[1.9072288074733952, 1.263195537885025]","[1.210940977182204, 1.4671223047585629]",0.04455148733655043,1000,1002
19,2,"[-0.8003020014658737, -1.6479350210298516]","[0.14125373923064732, 0.01779188284644412]",0.7379120183915991,1000,1002
20,2,"[0.7546184765937944, -0.24513538564259307]","[0.4302782615725081, 0.18231501592978583]",0.3253805638224036,1000,1002
21,2,"[-1.548131390075786, -0.019755376184237505]","[-0.5023861426595724, 0.259920829826401]",2.262832695952811,1000,1002
22,2,"[-1.9071446175120654, 1.6765763669146914]","[-1.297208168256201, 1.6904577215011474]",5.283107758008349,1000,1002
23,2,"[-0.9880371953663307, 0.6656912767139103]","[-0.7539426547403912, 0.5765087583704962]",3.0828422346581426,1000,1002
24,2,"[-0.7712314323377727, 0.08219861474431323]","[-0.3596315181604648, 0.1358376552002049]",1.8528265402236987,1000,1002
25,2,"[0.19132530419007354, -1.2908361501674412]","[0.17388317989410534, 0.027732006344897486]",0.6830956785393372,1000,1002
26,2,"[1.9234186353236318, 1.126944044487125]","[1.1646027483609085, 1.356896394797059]",0.02712968576763214,1000,1002
27,2,"[1.8001876646469186, 1.6172128273516497]","[1.3205579129614473, 1.7449348776315574]",0.10287009118619587,1000,1002
28,2,"[0.40099831321020485, 1.7279968666546868]","[1.0984098373694122, 1.2068753480806278]",0.009698273346220044,1000,1002
29,2,"[-1.6855347115953379, -1.2452541955311813]","[0.06573989477796839, 0.0032694151842429745]",0.8729526816491103,1000,1002
30,2,"[-1.862749024622436, -0.7154469651936692]","[-0.1395935809970441, 0.022632264253946772]",1.2996631962645933,1000,1002
31,2,"[-0.4559778214318817, -0.9365543658541224]","[0.11385183590387223, 0.01115457072508245]",0.7855853357464376,1000,1002
32,2,"[1.3465088374863026, -0.5867383738630583]","[0.4073195325562237, 0.16299948343480775]",0.3521167824705176,1000,1002
33,2,"[-0.8972922483204884, 0.1748831566161857]","[-0.4608698118984201, 0.21970622398716844]",2.1394772611454855,1000,1002
34,2,"[-1.4707743745033723, 1.2377988331685463]","[-1.090664711884606, 1.1974687567297473]",4.377150378456245,1000,1002
35,2,"[-1.7426405634876587, 1.9942888923157192]","[-1.3887155338682249, 1.936143984918323]",5.711757908423354,1000,1002
36,2,"[1.115114575039109, -1.2340605684360297]","[0.22991155595535553, 0.049961690215558574]",0.5938758395520338,1000,1002
37,2,"[-2.0253814082617247, 1.2921300109510008]","[-1.1699072795523227, 1.3765240111993504]",4.714645680477291,1000,1002
38,2,"[0.8472876803998397, 0.938013360295884]","[0.9436633891514769, 0.8902674085318457]",0.0031792511760389813,1000,1002
39,2,"[1.111123340025634, -1.744713106497166]","[0.18529679388806794, 0.03173171146408989]",0.6644189740546774,1000,1002
40,2,"[-0.5797243758826593, -1.5734003321850687]","[0.14459443588185042, 0.018707825741859068]",0.7322025581961421,1000,1002
41,2,"[1.487271632386431, 0.5050291274856771]","[0.8811369577581277, 0.7758918120842035]",0.01415448651547688,1000,1002
42,2,"[-0.692641690203549, -1.7876649972284473]","[0.1478717670350815, 0.019628950230349645]",0.7266229911981207,1000,1002
43,2,"[-0.7742164102526476, -0.7160491129784441]","[0.02870937009021994, 0.00045365390931634253]",0.9434192202610905,1000,1002
44,2,"[0.9404669064727105, 0.5634354026709532]","[0.8127597324842142, 0.659742056406832]",0.03512886195424464,1000,1002
45,2,"[1.5860233935926336, -0.11380766653665564]","[0.6312638510771131, 0.3966963122113116]",0.13628953352193027,1000,1002
46,2,"[-1.5581419686367162, 0.8734506484653877]","[-0.952783437937501, 0.915830590725191]",3.819818170995782,1000,1002
47,2,"[1.0681755591348119, 0.2509914012446566]","[0.7068615584453759, 0.49826947960989615]",0.08612163151096094,1000,1002
48,2,"[1.109881569093882, -0.025413237291455726]","[0.5958082420069314, 0.35299333795941434]",0.16376862999669678,1000,1002
49,2,"[0.09311366914864783, -0.29679198880338076]","[0.20833637341958924, 0.04063018582653331]",0.6275007268387298,1000,1002
50,2,"[-1.9438832568561861, -1.606076715035425]","[0.11006940490834596, 0.010360915655201282]",0.7922842413641992,1000,1002
51,2,"[-1.9192660554271366, 0.5587370445364446]","[-0.8564076036190411, 0.7415166351663863]",3.452782116511587,1000,1002
52,2,"[-0.760397901511366, 0.035105551010622627]","[-0.326599113178568, 0.11281439753941996]",1.763644280430233,1000,1002
53,2,"[1.6693922772012773, -1.0268990294062081]","[0.3035370911314424, 0.08904661322133563]",0.4860142519981919,1000,1002
54,2,"[-0.3670715472460606, 1.0467374634723274]","[-0.693302716427124, 0.4887040632558259]",2.8737308654635223,1000,1002
55,2,"[-1.1108427141463144, -1.732690289341264]","[0.1378787156983979, 0.01689009682824071]",0.7437027368732105,1000,1002
56,2,"[-0.8611780488652061, -1.3876376074075978]","[0.12496324395048561, 0.013657888791488253]",0.766072670899302,1000,1002
57,2,"[1.7600415839951795, 1.2620610746958518]","[1.197325513399435, 1.434290186020555]",0.038986610700371516,1000,1002
58,2,"[0.5464217866666945, 1.5215025774088917]","[1.0809307822508911, 1.1687198221806463]",0.006559306653120334,1000,1002
59,2,"[1.243840826978773, -1.2838090388027972]","[0.23002052255830777, 0.05001126746437366]",0.593708336548554,1000,1002
60,2,"[1.607921657814949, 0.16114582288650547]","[0.7527946697367048, 0.5655592982806286]",0.061240553100029856,1000,1002
61,2,"[1.2592748755520002, 1.6223899644866284]","[1.2642714129072947, 1.599286137628304]",0.06992108901025082,1000,1002
62,2,"[-0.7454577665152455, -1.597227317134636]","[0.14069934601427886, 0.017642126391851858]",0.7388616629052817,1000,1002
63,2,"[-1.114377574228207, -0.29856649778685407]","[-0.2385774947129669, 0.06186127816214233]",1.5365166033251307,1000,1002
64,2,"[1.3025884812185318, 1.4775524690179829]","[1.220952646731645, 1.4915003902712896]",0.04888013842787366,1000,1002
65,2,"[-2.0195240733442428, 0.044020951357709226]","[-0.6083919114892681, 0.37803606080974733]",2.593158184806819,1000,1002
66,2,"[-0.33828453110260126, -1.1382464083118888]","[0.13903878784620602, 0.017197389923527158]",0.7417097728651266,1000,1002
67,2,"[-1.5570314554012352, -0.6651282579307398]","[-0.12309243103854355, 0.017961396920912812]",1.2621260221604587,1000,1002
68,2,"[1.8141581472256787, -0.7241607904429865]","[0.4073854035946707, 0.16305337586704158]",0.35203857377400116,1000,1002
69,2,"[0.07696638666082745, 0.8315656556346487]","[0.4170110859558247, 0.17102307093890026]",0.34070273695237946,1000,1002
70,2,"[-0.5585731486544119, 1.9324194108250548]","[-1.1678752956340523, 1.3717757407846465]",4.705834616644809,1000,1002
71,2,"[1.8941841200828877, -1.0166997162993083]","[0.32086539742468906, 0.09986599072983375]",0.46217776115405745,1000,1002
72,2,"[-0.011270119864789319, -0.8156024429905115]","[0.16480857281223074, 0.0247452574016749]",0.6981287196013587,1000,1002
73,2,"[-0.8812933350298926, -1.8969110636358337]","[0.14741497041230905, 0.01949922328083258]",0.7273993928558697,1000,1002
74,2,"[0.44877551198165744, 0.010973279145416459]","[0.43092577384583786, 0.18287523313166323]",0.32464172443336115,1000,1002
75,2,"[-1.8371430348800437, -0.9066640824868395]","[-0.04656624805845985, 0.0033526139686695764]",1.0954411441863716,1000,1002
76,2,"[1.6722570689194134, -1.066754495828081]","[0.29407077345315835, 0.08339611484712092]",0.4992856401700764,1000,1002
77,2,"[-1.4545106039143503, -0.043201493903101795]","[-0.4711265610128338, 0.22932575446210934]",2.1696384440145726,1000,1002
78,2,"[1.9892242600370205, -1.0565416078888943]","[0.3158995937569194, 0.09670258644251714]",0.4689481553620982,1000,1002
79,2,"[0.7050672021744786, 1.0715939443864273]","[0.9598202133880824, 0.9210901325745411]",0.0016171281725964378,1000,1002
80,2,"[-1.0746366198071309, 0.9347741639141769]","[-0.8996818022549897, 0.8174929247548154]",3.6152963069987862,1000,1002
81,2,"[-0.5415602883819388, 0.5419246821113015]","[-0.5273242339085547, 0.2857101651406432]",2.3385552326302914,1000,1002
82,2,"[0.5469376952766245, 0.14653310597021063]","[0.5220158887558136, 0.2701071383125602]",0.22904167079686713,1000,1002
83,2,"[-1.6781731018571437, 1.3733990219335186]","[-1.166917866739533, 1.3695413150657352]",4.70168588632537,1000,1002
84,2,"[-0.73408485387577, -1.2840201814021972]","[0.12315822130974133, 0.013233781073512514]",0.7692256048240171,1000,1002
85,2,"[-1.8809850201916871, 0.37229749529903833]","[-0.7628677393578189, 0.5900498247950827]",3.114235568624099,1000,1002
86,2,"[0.7273036261059889, -1.9800562527115013]","[0.17013055245989195, 0.02647612719541822]",0.6892925394334967,1000,1002
87,2,"[0.049533166793855, -1.1202733047892461]","[0.16823757424013572, 0.025853723554944773]",0.6924290602457424,1000,1002
