corrida,dimension,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones
1,2,"[0.5817616226479627, -1.70336270338028]","[0.17518852233958465, 0.02817572500581217]",0.6809466437458822,1000,1002
2,2,"[-1.385968787068462, 1.6324779562069165]","[-1.2271786086252692, 1.5137492898572817]",4.966380433017748,1000,1002
3,2,"[0.43593342836568016, -2.010328876578285]","[0.16571563645424775, 0.025036096957557753]",0.6966187407658483,1000,1002
4,2,"[-1.6323725604207326, 0.6697032462665966]","[-0.8724271925216681, 0.7692065582654791]",3.512507952850769,1000,1002
5,2,"[-2.0272677525658884, -1.3893302213939256]","[0.07748941101620976, 0.00475299102834727]",0.8511824414967674,1000,1002
6,2,"[0.19961360124553673, 0.7860027297492715]","[0.5797554160968774, 0.3340337044524657]",0.17703924842097304,1000,1002
7,2,"[0.6224333189226519, -1.129392908449547]","[0.21081759975666356, 0.04165422869112428]",0.6235871769318952,1000,1002
8,2,"[0.8690860906395068, -1.0762277376131069]","[0.23559962947284432, 0.052582477077463816]",0.5851633183437726,1000,1002
9,2,"[-0.7151628363396394, 1.0096287953634269]","[-0.8406978097694435, 0.7148593576303649]",3.394707656431871,1000,1002
10,2,"[0.6128963544973911, 1.4304190893841526]","[1.0689779837672257, 1.1429787317563556]",0.004764974253310513,1000,1002
11,2,"[0.6455824068622062, 0.27979203926209184]","[0.6125641964572796, 0.37333353133086905]",0.15046802016387695,1000,1002
12,2,"[-1.6643081509761333, -0.5418360706685603]","[-0.20766636442689598, 0.04755315740449703]",1.460418623137617,1000,1002
13,2,"[-0.9617311019756525, -1.0486184207192737]","[0.0786948692226577, 0.004921331438408411]",0.848964828192122,1000,1002
14,2,"[1.9374512322660173, -0.4378717197649493]","[0.5316643323072583, 0.2803242062941774]",0.2198871481789934,1000,1002
15,2,"[1.6058226900054562, 0.5371438120847887]","[0.9090342285090446, 0.8259588809769632]",0.008289543892557595,1000,1002
16,2,"[1.2075470993065918, 0.010801533358866688]","[0.6289662141432842, 0.39378803368001536]",0.13799384854582286,1000,1002
17,2,"[0.31499831142956713, -0.03064752611793331]","[0.3585977692922438, 0.12554903429072248]",0.4123230047802097,1000,1002
18,2,"[-1.2482847219792097, 0.9111638641111259]","[-0.9220938393514977, 0.8583106479445386]",3.700930773561561,1000,1002
19,2,"[-0.8979564034422547, -1.948401801496765]","[0.14837736042459776, 0.019773040925424108]",0.7257641354936596,1000,1002
20,2,"[0.5958545240357593, -1.3225546571487277]","[0.19361180013233514, 0.034816035630245934]",0.6509745484512719,1000,1002
21,2,"[1.8041183615095369, 1.8592914514025978]","[1.3981582918620652, 1.9561091547056395]",0.1586894275184808,1000,1002
22,2,"[1.6992845423429572, -0.5318299637536998]","[0.4689247012716766, 0.21723340003943553]",0.2827469247593776,1000,1002
23,2,"[-1.9846896986977591, 1.7543928323593234]","[-1.3300983330208402, 1.77683580177354]",5.435247616428853,1000,1002
24,2,"[-0.2941577284922805, 1.9114181388028704]","[-1.0318653873621115, 1.072718932185642]",4.134833433871131,1000,1002
25,2,"[1.8989874261575799, 1.4459267295943068]","[1.272413263060643, 1.6199629271241138]",0.07429499577024738,1000,1002
26,2,"[-0.8419373380829771, -0.4706397036465142]","[-0.07438312487137053, 0.007314245575546941]",1.1546164362896694,1000,1002
27,2,"[1.438255806533046, -0.7498874668798867]","[0.36265929878670233, 0.12848665493793088]",0.40712435994384244,1000,1002
28,2,"[-1.3537577095737652, 0.23265797102940233]","[-0.6090632125017873, 0.3788548978295905]",2.595320526377365,1000,1002
29,2,"[1.7864899549625588, 0.8029380471806893]","[1.0329095273537812, 1.0670311998329902]",0.0010847038816958693,1000,1002
30,2,"[0.2869705526860389, -1.649965081514932]","[0.1692216957491304, 0.02617636861935696]",0.690797560765758,1000,1002
31,2,"[0.4710696005597992, 2.0072605700270625]","[1.2249495075078276, 1.5012885003440695]",0.0506642500048151,1000,1002
32,2,"[-1.4742158735911977, 0.07507825608186547]","[-0.5437758393667323, 0.30339539655348813]",2.3891778221924564,1000,1002
33,2,"[1.5457201026169054, 0.9861882583212216]","[1.0757508390292145, 1.1575294896985946]",0.00574657770545543,1000,1002
34,2,"[0.8069764751166177, 0.8293748080111998]","[0.8906165549420899, 0.7927306391629848]",0.01198656645658072,1000,1002
35,2,"[-0.5755242446038829, -0.8454478058926351]","[0.08728885648409092, 0.0062085576153314125]",0.833240663452005,1000,1002
36,2,"[1.2671432928399917, 1.2702244646059242]","[1.1436702489225363, 1.3085090834846373]",0.020668960270851362,1000,1002
37,2,"[1.5035282169041047, 1.6926333032713066]","[1.3165386532437464, 1.7343247866710405]",0.1003071289044036,1000,1002
38,2,"[0.046458465734401155, 0.006210743038769451]","[0.20894874578993095, 0.04088173493390741]",0.6265337282013037,1000,1002
39,2,"[1.221817053047911, 0.6142522604657259]","[0.8867670466319297, 0.7858710505053934]",0.012845199450215663,1000,1002
40,2,"[0.827256329247553, 1.21156677401027]","[1.044143206375746, 1.0904070478477617]",0.001951581496640695,1000,1002
41,2,"[1.5974618800847518, -0.6635718375361093]","[0.4083421163113741, 0.16383710164607868]",0.3509036408913887,1000,1002
42,2,"[-0.5096122259867892, -1.6630499744118006]","[0.1488973565022807, 0.019921791272480553]",0.724881344131484,1000,1002
43,2,"[0.3206354575203285, -1.9007804465285445]","[0.1656838787563867, 0.025025885353950488]",0.6966715799018873,1000,1002
44,2,"[-0.14091051772944319, 0.1746724237622339]","[0.024105060137308166, 0.00030020203405951086]",0.9523788214280278,1000,1002
45,2,"[-0.8743270312825471, 0.3720530352906679]","[-0.5672878825453288, 0.32959893426444714]",2.462449426781482,1000,1002
46,2,"[-1.9230709762496536, -1.8950218188832177]","[0.13312168829627097, 0.01565926802170551]",0.751903239489735,1000,1002
47,2,"[1.3213718964619603, -0.5726591327794672]","[0.4091749927964895, 0.1645208917138474]",0.34991709436422047,1000,1002
48,2,"[-1.52756014017788, 0.0911083931844785]","[-0.5624968676369682, 0.3241708004779184]",2.447430759327248,1000,1002
49,2,"[1.1058935934919099, -1.1639970713729304]","[0.23924675845035479, 0.054298124101245106]",0.5796103763557492,1000,1002
50,2,"[0.5033593889546251, -1.6984167833855264]","[0.17347409255745405, 0.027593676116311285]",0.6837698680271342,1000,1002
51,2,"[-1.8363116700933828, 0.1284285709031341]","[-0.6308888326268505, 0.405963984193205]",2.6661079303682094,1000,1002
