corrida,dimension,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones
1,3,"[0.21860839321506553, 0.012830607571107766, -1.2539368737304877]","[0.3689898732314959, 0.13852385526433397, 0.017653278209778592]",1.1411125745314625,1000,1002
2,3,"[1.4697134947047616, 0.724749447155046, 1.3840727033929876]","[1.0560946239013231, 1.1155502350262272, 1.2449637655708996]",0.016529216495312797,1000,1002
3,3,"[1.469498488215438, 1.0172655766148702, -0.2489933772811579]","[0.7659256918171573, 0.5859744371472304, 0.34098698523121984]",0.2268185251772044,1000,1002
4,3,"[0.45279950854317885, -1.391143296533532, 0.7112516299772218]","[0.19594650138610534, 0.04412502847212826, 0.001652939658575272]",1.5634909246802486,1000,1002
5,3,"[-1.313778664491906, 0.7944175227296024, -1.1075659335517445]","[-0.42670384468598077, 0.1940760650430119, 0.03901404608469761]",2.6995788474388798,1000,1002
6,3,"[-1.566509874584699, -1.3709947283744464, -2.0398402141426883]","[-0.19945505854400625, 0.05213789183000031, 0.003036599474398728]",2.352411155811168,1000,1002
7,3,"[0.8959574747280601, 0.9519146969431209, 0.06116700124471075]","[0.7946018881776904, 0.6307581223838448, 0.3957457124759618]",0.17901339969806732,1000,1002
8,3,"[-1.3870579668771486, -1.7057614335562148, -1.9696477534728725]","[-0.17823109915106877, 0.04402787435628461, 0.0021946128988424595]",2.3171523497530497,1000,1002
9,3,"[-1.369095467150456, 1.600944271290969, -1.0586650963899116]","[-0.5129549189838468, 0.27470349784704096, 0.07730268953923904]",2.8288377869876147,1000,1002
10,3,"[-0.5969046437182848, -1.6165048955644594, -1.1372080957514945]","[-0.01630400779009945, 0.010653986185356326, 0.00012889373744636562]",2.0224707932524186,1000,1002
11,3,"[0.07874384191572004, 0.44135498995979283, -1.0430369211751995]","[0.3061136751334104, 0.09716619176785436, 0.008469198363784633]",1.2978791911463001,1000,1002
12,3,"[-1.81152907581392, -0.4463293680541751, -1.0887029926857354]","[-0.29868640244180145, 0.10164955551563455, 0.01103034052969515]",2.509133953719757,1000,1002
13,3,"[-1.1487071304507313, 1.8835980399143128, 0.4763667903517659]","[-0.9372819990030423, 0.888240664583809, 0.7926591875467244]",3.7764044493673428,1000,1002
14,3,"[0.2329741032329049, -0.34498517596847345, -0.29104401027012905]","[0.3250005351471119, 0.1087423342624646, 0.01069366819548395]",1.2510640321870463,1000,1002
15,3,"[0.16754689572077908, 0.8045764896198953, 0.8279904099607736]","[0.8046987213509764, 0.6469229273310372, 0.41649871077244455]",0.1632483269330588,1000,1002
16,3,"[-1.3447417540384787, 0.00046183250586429025, -0.3606196427403183]","[-0.4405270181231761, 0.20599960739582177, 0.04386161151414406]",2.720003740550249,1000,1002
17,3,"[1.5176784538393977, 0.5382919013104699, 0.13313665603986147]","[0.7939941689785627, 0.6297917619028146, 0.3945216461392052]",0.17998061462362863,1000,1002
18,3,"[-1.5753435456351546, 0.43269279466869337, -1.567932802333764]","[-0.33360887056924876, 0.12365295544135226, 0.01615083585471992]",2.56184306332618,1000,1002
19,3,"[-0.6668018664826796, -1.4629193121204969, 0.7867336582118152]","[0.1668664502891428, 0.0342352359084756, 0.000980791757424692]",1.6309010119650598,1000,1002
20,3,"[-1.203191341727119, -0.4429440074218456, 1.6206838891265174]","[0.13322881877419457, 0.02492089038893361, 0.0005138088232057081]",1.7072149849695044,1000,1002
21,3,"[-1.2111200935978177, 0.03196954197515911, -0.33066327586397404]","[-0.43838198220254004, 0.20412441157703953, 0.04308050327946002]",2.716830395241377,1000,1002
22,3,"[-1.973763927876691, 1.1991372331942411, -1.7651879677353994]","[-0.36410924653805143, 0.14483549487663325, 0.021990435181757157]",2.607233648419278,1000,1002
23,3,"[-0.10545143407839808, 0.24853829606993916, 0.5260347662933484]","[-0.0523578668309859, 0.013727620031952237, 0.00022685581058570528]",2.0922602561174504,1000,1002
24,3,"[0.7726351536450582, -1.010596317090959, -2.0071269308069914]","[0.4332875082493609, 0.18915087573689573, 0.03361886333286023]",0.9793051644413056,1000,1002
25,3,"[0.9152252410057193, 0.14604943092768208, 1.376738112336891]","[0.9104454253073386, 0.828582750838513, 0.6856451083917332]",0.03749643134607712,1000,1002
26,3,"[1.316406734441244, 1.4062639832591697, -0.061052272723803425]","[0.8329228324868495, 0.6932026530033308, 0.47880702102265604]",0.12236734265049183,1000,1002
27,3,"[-0.6814580906521983, 1.1942223978142517, -0.19949931303217183]","[-0.6555543815305042, 0.44064161663948703, 0.19679874994125926]",3.0662951184027136,1000,1002
28,3,"[-1.2966207635315323, 1.453973584123799, 1.5669652552595346]","[-1.1151903775536385, 1.2528099186489667, 1.5735567723971602]",4.547953694089286,1000,1002
29,3,"[-0.1379952388498633, -1.7379339169391106, -0.4594643357002497]","[0.16871271379072747, 0.03481236132045743, 0.0010149862964213359]",1.6266598023930974,1000,1002
30,3,"[1.2432902531588232, 1.6456664209253526, -1.2145756467298474]","[0.6177188589155369, 0.3812092423588698, 0.14215851851836736]",0.5300541710276918,1000,1002
31,3,"[-1.773676085144488, 1.5456274560321073, -0.4529973699425267]","[-0.6979413907549421, 0.4978207783932474, 0.2506686884291828]",3.1474432837275903,1000,1002
32,3,"[0.1710529096399389, 1.9171975661599086, -1.7753508744633433]","[0.42353443401041085, 0.18092920680261548, 0.03066957926896616]",1.0038558308199739,1000,1002
33,3,"[0.6075105585237832, -1.7444641891333446, -0.5100792690012146]","[0.31172632850413495, 0.10053034662119904, 0.009088085077762145]",1.2839969642843143,1000,1002
34,3,"[1.2444243771123578, -0.2724977346329216, 2.036458921586485]","[0.37846304887664994, 0.14545357031482728, 0.019529878179277194]",1.1173149756333007,1000,1002
35,3,"[0.24190683114128264, -0.7325198228031344, -1.1464240090941313]","[0.3229071794804007, 0.10742343303524264, 0.01042670875707145]",1.2562665267653335,1000,1002
36,3,"[-0.6122678915638813, -0.5221037106808799, -1.766548776042656]","[-0.14454310022849828, 0.032937261921056026, 0.001257793041631954]",2.2596993664741247,1000,1002
37,3,"[-0.5342240791479371, -0.14647902314813477, 0.9123338331701438]","[-0.1638418193687934, 0.03902352773101028, 0.0017411308437036655]",2.2928420702712646,1000,1002
38,3,"[0.6419639694197063, 0.8551041238186157, -2.0137423590323933]","[0.48916513024420066, 0.23999557620705353, 0.05494753404093925]",0.8393122641635107,1000,1002
39,3,"[-1.1564343313181245, 0.662258845285812, -0.06557954793575571]","[-0.6669183090443098, 0.45561805952257295, 0.2102793022575346]",3.0874390422436275,1000,1002
40,3,"[-2.026236003662455, 1.2472100554007444, 1.1174280121972218]","[-1.0440566496089951, 1.0994349999536863, 1.2126673011197904]",4.198383478387781,1000,1002
