Metodo,Mejor valor,Promedio valor,Mediana valor,Promedio evaluaciones,Promedio iteraciones,Mejor en valor,Mejor en evaluaciones
Evolucion diferencial,2.4050390824539846e-06,0.000241761989084,6.741531293446625e-05,4840.0,120.0,Si,
PSO,0.0010830920222479,0.037133910446225,0.0285915755948645,4840.0,120.0,,
Algoritmo evolutivo,0.0135938145691648,0.5279456616798324,0.1790188774505581,4840.0,120.0,,
Descenso por gradiente,0.0317850782663842,2.029338743632493,2.176434310109556,1002.0,1000.0,,Si
