Metodo,Mejor valor,Promedio valor,Mediana valor,Promedio evaluaciones,Promedio iteraciones,Mejor en valor,Mejor en evaluaciones
Evolucion diferencial,1.1510125237772603e-16,3.60420745381523e-13,8.751549485302106e-14,4840.0,120.0,Si,
PSO,8.279006122698238e-11,1.8031566752668404e-06,6.397120945299637e-08,4840.0,120.0,,
Algoritmo evolutivo,0.0001682734066438,0.1050178444262303,0.0431474762283087,4840.0,120.0,,
Descenso por gradiente,0.0001849783111942,1.4907307824448326,0.745528848586569,1002.0,1000.0,,Si
