experimento,hormigas,iteracion,mejor_costo
ants_60,150,33,4281.479666
ants_60,150,34,4281.479666
ants_60,150,35,4281.479666
ants_60,150,36,4281.479666
ants_60,150,37,4281.479666
ants_60,150,38,4281.479666
ants_60,150,39,4281.479666
ants_60,150,40,4281.479666
ants_60,150,41,4281.479666
ants_60,150,42,4281.479666
ants_60,150,43,4281.479666
ants_60,150,44,4270.248999
ants_60,150,45,4270.248999
ants_60,150,46,4270.248999
ants_60,150,47,4270.248999
ants_60,150,48,4270.248999
ants_60,150,49,4270.248999
ants_60,150,50,4270.248999
ants_60,150,51,4270.248999
ants_60,150,52,4270.248999
ants_60,150,53,4270.248999
ants_60,150,54,4270.248999
ants_60,150,55,4270.248999
ants_60,150,56,4270.248999
ants_60,150,57,4270.248999
ants_60,150,58,4270.248999
ants_60,150,59,4270.248999
ants_60,150,60,4270.248999
ants_80,250,1,6431.513667
ants_80,250,2,6431.513667
ants_80,250,3,6266.375666
ants_80,250,4,6266.375666
ants_80,250,5,5970.229323
ants_80,250,6,5970.229323
ants_80,250,7,5970.229323
ants_80,250,8,5827.310001
ants_80,250,9,5827.310001
ants_80,250,10,5827.310001
ants_80,250,11,5827.310001
ants_80,250,12,5827.310001
ants_80,250,13,5827.310001
ants_80,250,14,5827.310001
ants_80,250,15,5827.310001
ants_80,250,16,5827.310001
ants_80,250,17,5495.752998
ants_80,250,18,5495.752998
ants_80,250,19,5314.231
ants_80,250,20,5278.683336
ants_80,250,21,4997.456331
ants_80,250,22,4958.185666
ants_80,250,23,4847.191667
ants_80,250,24,4821.416332
ants_80,250,25,4669.260668
ants_80,250,26,4656.760998
ants_80,250,27,4499.459333
ants_80,250,28,4454.214999
ants_80,250,29,4294.346333
ants_80,250,30,4294.346333
ants_80,250,31,4294.346333
ants_80,250,32,4294.346333
ants_80,250,33,4290.778665
ants_80,250,34,4290.778665
ants_80,250,35,4290.778665
ants_80,250,36,4244.062665
ants_80,250,37,4178.349998
ants_80,250,38,4178.349998
ants_80,250,39,4156.558999
ants_80,250,40,4156.558999
ants_80,250,41,4156.558999
ants_80,250,42,4141.753998
ants_80,250,43,4141.753998
ants_80,250,44,4141.753998
ants_80,250,45,4141.753998
ants_80,250,46,4141.753998
ants_80,250,47,4141.753998
ants_80,250,48,4141.753998
ants_80,250,49,4141.753998
ants_80,250,50,4141.753998
ants_80,250,51,4141.753998
ants_80,250,52,4141.753998
ants_80,250,53,4141.753998
ants_80,250,54,4141.753998
ants_80,250,55,4141.753998
ants_80,250,56,4123.499333
ants_80,250,57,4123.499333
ants_80,250,58,4123.499333
ants_80,250,59,4123.499333
ants_80,250,60,4123.499333
