experimento,evaporation_rate,hormigas,iteracion,mejor_costo
evap_025,0.25,40,68,4067.228332
evap_025,0.25,40,69,4067.228332
evap_025,0.25,40,70,4067.228332
evap_025,0.25,40,71,4067.228332
evap_025,0.25,40,72,4067.228332
evap_025,0.25,40,73,4067.228332
evap_025,0.25,40,74,4067.228332
evap_025,0.25,40,75,4067.228332
evap_025,0.25,40,76,4067.228332
evap_025,0.25,40,77,4067.228332
evap_025,0.25,40,78,4067.228332
evap_025,0.25,40,79,4067.228332
evap_025,0.25,40,80,4067.228332
evap_025,0.25,40,81,4067.228332
evap_025,0.25,40,82,4067.228332
evap_025,0.25,40,83,4067.228332
evap_025,0.25,40,84,4067.228332
evap_025,0.25,40,85,4067.228332
evap_025,0.25,40,86,4067.228332
evap_025,0.25,40,87,4067.228332
evap_025,0.25,40,88,4067.228332
evap_025,0.25,40,89,4067.228332
evap_025,0.25,40,90,4067.228332
evap_025,0.25,40,91,4067.228332
evap_025,0.25,40,92,4067.228332
evap_025,0.25,40,93,4067.228332
evap_025,0.25,40,94,4067.228332
evap_025,0.25,40,95,4067.228332
evap_025,0.25,40,96,4067.228332
evap_025,0.25,40,97,4067.228332
evap_025,0.25,40,98,4067.228332
evap_025,0.25,40,99,4067.228332
evap_025,0.25,40,100,4067.228332
evap_035,0.35,40,1,6855.457334
evap_035,0.35,40,2,6670.609333
evap_035,0.35,40,3,6549.810999
evap_035,0.35,40,4,6549.810999
evap_035,0.35,40,5,6549.810999
evap_035,0.35,40,6,6549.810999
evap_035,0.35,40,7,6549.810999
evap_035,0.35,40,8,6549.810999
evap_035,0.35,40,9,6549.810999
evap_035,0.35,40,10,6549.810999
evap_035,0.35,40,11,6549.810999
evap_035,0.35,40,12,6549.810999
evap_035,0.35,40,13,6376.811329
evap_035,0.35,40,14,6376.811329
evap_035,0.35,40,15,6376.811329
evap_035,0.35,40,16,5984.55
evap_035,0.35,40,17,5981.778329
evap_035,0.35,40,18,5560.657665
evap_035,0.35,40,19,5560.657665
evap_035,0.35,40,20,5466.565329
evap_035,0.35,40,21,4801.819663
evap_035,0.35,40,22,4801.819663
evap_035,0.35,40,23,4801.819663
evap_035,0.35,40,24,4801.819663
evap_035,0.35,40,25,4801.819663
evap_035,0.35,40,26,4801.819663
evap_035,0.35,40,27,4689.647331
evap_035,0.35,40,28,4566.908664
evap_035,0.35,40,29,4565.905331
evap_035,0.35,40,30,4534.004332
evap_035,0.35,40,31,4534.004332
evap_035,0.35,40,32,4534.004332
evap_035,0.35,40,33,4505.030666
evap_035,0.35,40,34,4505.030666
evap_035,0.35,40,35,4471.569332
evap_035,0.35,40,36,4471.569332
evap_035,0.35,40,37,4471.569332
evap_035,0.35,40,38,4471.569332
evap_035,0.35,40,39,4471.569332
evap_035,0.35,40,40,4471.569332
evap_035,0.35,40,41,4471.569332
evap_035,0.35,40,42,4471.569332
evap_035,0.35,40,43,4471.569332
evap_035,0.35,40,44,4471.569332
evap_035,0.35,40,45,4471.569332
evap_035,0.35,40,46,4471.569332
evap_035,0.35,40,47,4471.569332
evap_035,0.35,40,48,4471.569332
evap_035,0.35,40,49,4471.569332
evap_035,0.35,40,50,4471.569332
evap_035,0.35,40,51,4471.569332
evap_035,0.35,40,52,4471.569332
evap_035,0.35,40,53,4471.569332
evap_035,0.35,40,54,4471.569332
evap_035,0.35,40,55,4471.569332
evap_035,0.35,40,56,4471.569332
evap_035,0.35,40,57,4471.569332
evap_035,0.35,40,58,4471.569332
evap_035,0.35,40,59,4471.569332
evap_035,0.35,40,60,4471.569332
evap_035,0.35,40,61,4471.569332
evap_035,0.35,40,62,4471.569332
evap_035,0.35,40,63,4471.569332
evap_035,0.35,40,64,4471.569332
evap_035,0.35,40,65,4471.569332
evap_035,0.35,40,66,4471.569332
evap_035,0.35,40,67,4471.569332
evap_035,0.35,40,68,4471.569332
evap_035,0.35,40,69,4471.569332
evap_035,0.35,40,70,4471.569332
evap_035,0.35,40,71,4471.569332
evap_035,0.35,40,72,4471.569332
evap_035,0.35,40,73,4471.569332
evap_035,0.35,40,74,4471.569332
evap_035,0.35,40,75,4471.569332
evap_035,0.35,40,76,4471.569332
evap_035,0.35,40,77,4471.569332
evap_035,0.35,40,78,4471.569332
evap_035,0.35,40,79,4471.569332
evap_035,0.35,40,80,4471.569332
evap_035,0.35,40,81,4471.569332
evap_035,0.35,40,82,4471.569332
evap_035,0.35,40,83,4471.569332
evap_035,0.35,40,84,4471.569332
evap_035,0.35,40,85,4471.569332
evap_035,0.35,40,86,4471.569332
evap_035,0.35,40,87,4471.569332
evap_035,0.35,40,88,4471.569332
evap_035,0.35,40,89,4471.569332
evap_035,0.35,40,90,4471.569332
evap_035,0.35,40,91,4471.569332
evap_035,0.35,40,92,4471.569332
evap_035,0.35,40,93,4471.569332
evap_035,0.35,40,94,4471.569332
evap_035,0.35,40,95,4471.569332
evap_035,0.35,40,96,4471.569332
evap_035,0.35,40,97,4471.569332
evap_035,0.35,40,98,4471.569332
evap_035,0.35,40,99,4471.569332
evap_035,0.35,40,100,4471.569332
evap_045,0.45,40,1,6855.457334
evap_045,0.45,40,2,6670.609333
evap_045,0.45,40,3,6549.810999
evap_045,0.45,40,4,6549.810999
evap_045,0.45,40,5,6549.810999
evap_045,0.45,40,6,6549.810999
evap_045,0.45,40,7,6549.810999
evap_045,0.45,40,8,6549.810999
evap_045,0.45,40,9,6549.810999
evap_045,0.45,40,10,6549.810999
evap_045,0.45,40,11,6266.193332
evap_045,0.45,40,12,6110.309326
evap_045,0.45,40,13,6110.309326
evap_045,0.45,40,14,6110.309326
evap_045,0.45,40,15,5603.399996
evap_045,0.45,40,16,5584.266997
evap_045,0.45,40,17,5146.219
evap_045,0.45,40,18,5008.378668
evap_045,0.45,40,19,4710.734999
evap_045,0.45,40,20,4527.977
evap_045,0.45,40,21,4527.977
evap_045,0.45,40,22,4527.977
evap_045,0.45,40,23,4527.977
evap_045,0.45,40,24,4527.977
evap_045,0.45,40,25,4527.977
evap_045,0.45,40,26,4527.977
evap_045,0.45,40,27,4481.515666
evap_045,0.45,40,28,4481.515666
evap_045,0.45,40,29,4481.515666
evap_045,0.45,40,30,4481.515666
evap_045,0.45,40,31,4481.515666
evap_045,0.45,40,32,4481.515666
evap_045,0.45,40,33,4481.515666
evap_045,0.45,40,34,4481.515666
evap_045,0.45,40,35,4481.515666
evap_045,0.45,40,36,4481.515666
evap_045,0.45,40,37,4481.515666
evap_045,0.45,40,38,4481.515666
evap_045,0.45,40,39,4481.515666
evap_045,0.45,40,40,4481.515666
evap_045,0.45,40,41,4481.515666
evap_045,0.45,40,42,4481.515666
evap_045,0.45,40,43,4481.515666
evap_045,0.45,40,44,4481.515666
evap_045,0.45,40,45,4481.515666
evap_045,0.45,40,46,4481.515666
evap_045,0.45,40,47,4481.515666
evap_045,0.45,40,48,4481.515666
evap_045,0.45,40,49,4481.515666
evap_045,0.45,40,50,4481.515666
evap_045,0.45,40,51,4481.515666
evap_045,0.45,40,52,4481.515666
evap_045,0.45,40,53,4481.515666
evap_045,0.45,40,54,4481.515666
evap_045,0.45,40,55,4481.515666
evap_045,0.45,40,56,4481.515666
evap_045,0.45,40,57,4481.515666
evap_045,0.45,40,58,4481.515666
evap_045,0.45,40,59,4481.515666
evap_045,0.45,40,60,4481.515666
evap_045,0.45,40,61,4481.515666
evap_045,0.45,40,62,4481.515666
evap_045,0.45,40,63,4481.515666
evap_045,0.45,40,64,4481.515666
evap_045,0.45,40,65,4481.515666
evap_045,0.45,40,66,4481.515666
evap_045,0.45,40,67,4481.515666
evap_045,0.45,40,68,4481.515666
evap_045,0.45,40,69,4481.515666
evap_045,0.45,40,70,4481.515666
evap_045,0.45,40,71,4481.515666
evap_045,0.45,40,72,4481.515666
evap_045,0.45,40,73,4481.515666
evap_045,0.45,40,74,4481.515666
evap_045,0.45,40,75,4481.515666
evap_045,0.45,40,76,4481.515666
evap_045,0.45,40,77,4481.515666
evap_045,0.45,40,78,4481.515666
evap_045,0.45,40,79,4481.515666
evap_045,0.45,40,80,4481.515666
evap_045,0.45,40,81,4481.515666
evap_045,0.45,40,82,4481.515666
evap_045,0.45,40,83,4481.515666
evap_045,0.45,40,84,4481.515666
evap_045,0.45,40,85,4481.515666
evap_045,0.45,40,86,4481.515666
evap_045,0.45,40,87,4481.515666
evap_045,0.45,40,88,4481.515666
evap_045,0.45,40,89,4481.515666
evap_045,0.45,40,90,4481.515666
evap_045,0.45,40,91,4481.515666
evap_045,0.45,40,92,4481.515666
evap_045,0.45,40,93,4481.515666
evap_045,0.45,40,94,4481.515666
evap_045,0.45,40,95,4481.515666
evap_045,0.45,40,96,4481.515666
evap_045,0.45,40,97,4481.515666
evap_045,0.45,40,98,4481.515666
evap_045,0.45,40,99,4481.515666
evap_045,0.45,40,100,4481.515666
evap_055,0.55,40,1,6855.457334
evap_055,0.55,40,2,6670.609333
evap_055,0.55,40,3,6549.810999
evap_055,0.55,40,4,6549.810999
evap_055,0.55,40,5,6549.810999
evap_055,0.55,40,6,6549.810999
evap_055,0.55,40,7,6549.810999
evap_055,0.55,40,8,6549.810999
evap_055,0.55,40,9,6549.810999
evap_055,0.55,40,10,6240.021001
evap_055,0.55,40,11,6038.442332
evap_055,0.55,40,12,5418.451997
evap_055,0.55,40,13,5307.741999
evap_055,0.55,40,14,5276.564333
evap_055,0.55,40,15,4894.703999
evap_055,0.55,40,16,4894.703999
evap_055,0.55,40,17,4800.970666
evap_055,0.55,40,18,4800.970666
evap_055,0.55,40,19,4721.023999
evap_055,0.55,40,20,4721.023999
evap_055,0.55,40,21,4721.023999
evap_055,0.55,40,22,4721.023999
evap_055,0.55,40,23,4721.023999
evap_055,0.55,40,24,4721.023999
evap_055,0.55,40,25,4721.023999
evap_055,0.55,40,26,4721.023999
