Ciudad,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry-Courcouronnes,Nanterre,Bobigny,Créteil,Cergy
Chaumont,21,55,21,21,21,21,21,55,21,55,21,21,21,55,21,21,21,21,21,21,21,21,55,21,21,70,21,55,55,55,21,21,21,21,21,55,21,21,21,21,21,21,21,21,21,21,21,21,21,21,55,55,-1,55,55,55,55,55,21,55,55,55,55,21,21,21,21,88,70,21,70,21,55,21,21,55,55,55,55,21,55,21,21,21,21,21,21,21,88,21,70,55,55,55,55,55
Laval,49,61,49,49,49,49,49,61,49,72,49,49,49,61,49,49,49,49,49,49,49,49,35,49,49,49,49,61,72,35,49,49,49,49,49,35,49,49,49,49,49,49,49,49,49,72,49,49,49,49,50,72,72,-1,72,72,35,61,49,61,61,61,61,49,49,49,49,72,49,49,49,49,72,49,49,72,61,72,72,49,61,49,49,49,49,49,49,49,72,72,49,72,61,61,72,61
Nancy,88,55,55,88,88,88,88,57,55,55,55,55,88,55,55,55,55,55,55,88,88,88,55,55,55,88,88,55,55,55,88,55,55,55,55,55,55,55,88,88,55,55,88,88,55,55,55,55,88,55,55,55,55,55,-1,55,55,57,55,57,55,55,55,55,55,55,55,67,88,88,88,88,55,88,88,55,55,55,55,55,55,55,55,88,88,55,55,55,88,55,88,55,55,55,55,55
Bar-le-Duc,52,51,9,52,52,52,9,7,9,9,9,9,9,51,9,9,9,9,9,52,52,52,51,9,9,52,52,51,51,51,9,9,9,9,9,51,9,9,52,52,9,9,52,9,51,9,9,9,9,51,51,51,52,51,54,-1,51,57,9,7,51,51,51,9,9,9,9,54,54,52,52,52,51,52,52,51,51,9,51,9,51,9,9,9,9,51,9,9,54,9,54,9,51,51,51,51
Vannes,44,35,44,44,44,44,44,35,44,35,44,44,44,35,44,44,44,44,44,44,44,44,22,44,44,44,44,35,35,29,44,44,44,44,44,35,44,44,44,44,44,44,44,44,44,44,44,44,44,44,35,35,35,35,35,35,-1,35,44,35,35,35,35,44,44,44,44,35,44,44,44,44,35,44,44,35,35,35,35,44,35,44,44,44,44,44,44,44,35,44,44,35,35,35,35,35
Metz,88,7,55,88,88,88,88,7,55,55,55,55,88,7,55,55,55,55,55,88,88,88,7,55,55,88,88,7,55,7,88,55,55,55,55,7,55,55,88,88,55,55,88,88,7,55,55,55,88,55,7,55,55,7,54,55,7,-1,55,7,7,7,7,55,55,55,55,67,67,88,88,88,55,88,88,55,7,55,55,55,7,55,55,88,88,55,55,55,88,55,88,55,55,55,55,7
Nevers,2,89,2,2,2,2,2,89,2,89,2,2,2,17,2,2,17,17,2,2,2,21,17,2,2,21,2,17,17,17,2,2,2,2,2,17,17,17,2,2,2,17,2,2,17,17,2,2,2,17,17,89,21,17,89,89,17,89,-1,89,89,17,89,2,2,2,2,21,21,2,21,2,17,2,2,89,17,89,89,17,89,2,2,2,2,17,17,2,21,89,21,89,89,89,89,89
Lille,7,1,1,1,1,1,1,7,1,7,1,1,1,62,1,62,62,1,1,1,1,7,62,1,62,7,1,62,62,62,1,1,1,62,1,62,1,62,1,7,62,1,1,1,62,1,1,62,1,62,62,1,7,62,7,7,62,7,1,-1,62,62,62,1,62,1,1,7,7,1,7,1,62,1,7,1,62,1,1,62,62,1,1,1,1,62,62,1,7,1,7,1,1,1,1,62
Beauvais,95,1,95,95,95,95,95,1,95,95,95,95,95,76,95,76,76,95,95,95,95,95,76,95,76,1,95,95,95,76,95,95,76,76,95,76,95,76,95,95,76,95,95,95,76,95,95,76,95,76,76,1,1,76,1,1,76,1,95,80,-1,76,80,95,76,76,95,1,1,95,1,95,76,95,95,95,76,95,95,76,80,95,95,95,95,76,76,95,1,95,1,95,95,95,95,95
Alençon,72,27,72,72,72,72,72,27,72,27,72,72,72,13,72,72,72,72,72,72,72,27,13,72,72,27,72,27,72,53,72,72,72,72,72,53,72,72,72,72,72,72,72,72,72,72,72,72,72,72,13,27,27,53,27,27,53,27,72,13,13,-1,13,72,72,72,72,27,27,72,27,72,72,72,72,27,13,27,27,72,13,72,72,72,72,72,72,72,27,27,27,27,27,27,27,27
