indice_inicio,indice_destino,ciudad_inicio,ciudad_destino,peso,distancia,tiempo(min),peajes(euros),gasolina(euros),costo_vendedor(euros)
15,87,Angoulême,Limoges,39.128333,109.0,85.0,0.0,22.1,17.028333
16,33,La Rochelle,Bordeaux,74.660667,189.0,122.0,18.5,31.72,24.440667
16,79,La Rochelle,Niort,25.778667,66.0,56.0,0.0,14.56,11.218667
16,85,La Rochelle,La Roche-sur-Yon,38.847333,85.0,82.0,1.1,21.32,16.427333
17,23,Bourges,Guéret,59.436667,173.0,110.0,8.8,28.6,22.036667
17,36,Bourges,Châteauroux,36.344,102.0,72.0,3.2,18.72,14.424
17,37,Bourges,Tours,65.955667,166.0,107.0,16.7,27.82,21.435667
17,41,Bourges,Blois,49.511,116.0,93.0,6.7,24.18,18.631
17,45,Bourges,Orléans,49.511,116.0,93.0,6.7,24.18,18.631
17,58,Bourges,Nevers,34.064667,67.0,74.0,0.0,19.24,14.824667
17,89,Bourges,Auxerre,66.345,144.0,135.0,4.2,35.1,27.045
18,23,Tulle,Guéret,52.478,174.0,114.0,0.0,29.64,22.838
18,24,Tulle,Périgueux,45.426667,108.0,80.0,8.6,20.8,16.026667
18,63,Tulle,Clermont-Ferrand,59.714333,144.0,103.0,12.3,26.78,20.634333
18,87,Tulle,Limoges,30.382,90.0,66.0,0.0,17.16,13.222
19,20,Ajaccio,Bastia,75.034333,150.0,163.0,0.0,42.38,32.654333
19,83,Ajaccio,Toulon,346.074667,696.0,704.0,22.0,183.04,141.034667
20,83,Bastia,Toulon,272.421333,548.0,544.0,22.0,141.44,108.981333
21,25,Dijon,Besançon,41.604333,98.0,73.0,8.0,18.98,14.624333
21,39,Dijon,Lons-le-Saunier,38.002667,98.0,68.0,6.7,17.68,13.622667
21,52,Dijon,Chaumont,41.044,109.0,72.0,7.9,18.72,14.424
21,58,Dijon,Nevers,78.717,182.0,171.0,0.0,44.46,34.257
21,70,Dijon,Vesoul,50.811,136.0,93.0,8.0,24.18,18.631
21,89,Dijon,Auxerre,57.414333,151.0,103.0,10.0,26.78,20.634333
22,29,Saint-Brieuc,Quimper,49.716,154.0,108.0,0.0,28.08,21.636
22,35,Saint-Brieuc,Rennes,30.842333,98.0,67.0,0.0,17.42,13.422333
22,50,Saint-Brieuc,Saint-Lô,56.160667,196.0,122.0,0.0,31.72,24.440667
