Ciudad,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry-Courcouronnes,Nanterre,Bobigny,Créteil,Cergy
Alençon,128.44,74.1,84.75999999999999,216.57999999999998,197.33999999999997,255.57999999999998,150.54,100.61999999999999,170.3,96.97999999999999,171.34,138.32000000000002,187.2,14.3,124.02000000000001,76.44,73.58,61.36,103.74000000000001,361.91999999999996,357.5,125.32,60.32,81.89999999999999,99.06,144.29999999999998,141.17999999999998,25.22,36.14,74.62,177.84000000000003,154.18,145.34,101.4,165.10000000000002,38.22,61.099999999999994,33.54,157.04,127.91999999999999,125.84,46.28,119.07999999999998,122.46,46.28,54.6,128.18,124.80000000000001,145.34,30.68,28.6,94.89999999999999,131.55999999999997,21.06,129.48,110.49999999999999,60.32,136.23999999999998,80.6,81.12,52.52,0.0,68.64,93.33999999999999,146.12,165.36,191.10000000000002,159.89999999999998,173.94,123.75999999999999,156.77999999999997,110.49999999999999,13.52,146.38,146.38,59.800000000000004,28.6,75.66,57.2,62.4,49.92,154.96,141.44,216.06,172.89999999999998,52.26,53.56,86.58000000000001,145.85999999999999,98.53999999999999,166.39999999999998,73.32000000000001,53.300000000000004,62.14,66.56,44.2
Arras,131.56,22.36,120.64,212.16,192.92,251.16,186.42000000000002,52.0,235.82000000000002,75.92,224.12,181.74,223.08000000000004,54.34,167.44,145.07999999999998,152.61999999999998,109.19999999999999,156.0,357.5,373.1,98.53999999999999,100.36,145.34,167.7,117.25999999999999,177.06,53.82,73.84,128.44,220.48,219.70000000000002,213.98,170.04,208.52,93.08,122.46000000000001,102.17999999999999,162.76,116.22,194.48,97.5,154.96,158.34,115.96,85.02,201.76,193.44,181.22,99.32,68.64,43.16,79.82,89.7,77.74,58.76,115.18,87.62,107.38,12.48,31.979999999999997,68.64,0.0,129.22,214.76,234.0,234.52,108.16,122.19999999999999,129.48,105.03999999999999,114.66,82.16,152.1,149.5,57.46,40.04,56.42,53.3,131.04,18.72,205.14000000000001,210.60000000000002,251.94000000000005,208.78000000000003,131.29999999999998,122.19999999999999,161.98000000000002,94.11999999999999,79.3,114.66,63.44,49.4,47.58,56.16,40.3
Clermont-Ferrand,52.260000000000005,106.86,8.58,123.24,104.0,162.24,57.2,121.94,106.6,72.02000000000001,94.89999999999999,52.519999999999996,93.86,107.63999999999999,38.22,66.03999999999999,99.32000000000001,31.979999999999997,26.78,268.58000000000004,264.15999999999997,66.3,122.72,33.28,47.58,71.76,47.84,94.64,74.62,141.7,91.25999999999999,90.47999999999999,103.47999999999999,70.46,79.3,105.3,50.699999999999996,59.8,63.440000000000005,51.74,106.08,56.16,25.74,29.12,95.41999999999999,56.16,72.53999999999999,80.34,52.0,79.82,121.93999999999998,104.78,85.02,97.5,108.16000000000001,89.18,118.82,112.84,21.84,134.16,118.03999999999999,93.33999999999999,129.22,0.0,135.98,123.49999999999999,105.3,127.66,112.58,29.64,83.98,34.32,79.82,52.260000000000005,70.2,88.66,108.42,72.8,93.08,84.76,125.83999999999999,75.91999999999999,81.38,122.72,79.56,103.22,68.12,43.94,100.88,49.92,98.28,79.82,100.88,93.08,84.5,104.25999999999999
Pau,179.66,200.46,144.56000000000003,140.4,145.34,178.35999999999999,145.08,257.92,44.2,208.00000000000003,56.16,83.46000000000001,124.02,160.42000000000002,97.76,69.68,76.44,137.02,106.6,284.7,294.32,202.28000000000003,153.39999999999998,108.42,85.8,207.74000000000004,157.56,171.34,156.26,157.3,95.16,39.0,32.5,44.72,82.42,135.98,124.80000000000001,112.58,173.16,187.72000000000003,20.28,125.32,145.34,129.74,113.1,137.79999999999998,67.86,53.04,106.86000000000001,126.1,160.42,240.76000000000002,221.00000000000003,143.78,244.14000000000001,225.16000000000003,136.5,248.82000000000002,157.82000000000002,227.24,198.64000000000004,146.12,214.76000000000002,135.98000000000002,0.0,12.48,75.14,263.64000000000004,248.56000000000006,161.72,219.96000000000004,170.30000000000004,132.6,184.34,196.82,172.9,174.72000000000003,166.4,172.64,95.16000000000001,196.04000000000002,53.56,54.6,152.88,108.16,97.75999999999999,92.56,91.78,236.86000000000004,185.90000000000003,234.26000000000005,159.38,179.14,179.4,170.82,190.32
Tarbes,167.17999999999998,230.36,132.08,127.91999999999999,132.85999999999999,165.87999999999997,132.6,245.44,31.72,195.52,43.68,70.98,111.53999999999999,179.66000000000003,85.28,88.92,95.68,144.56,94.11999999999999,272.21999999999997,281.84,189.8,172.64,115.96,73.32,195.26000000000002,145.07999999999998,190.58,187.20000000000002,176.54000000000002,82.67999999999999,26.52,20.02,63.96,69.94,155.22,136.76,131.82,160.67999999999998,175.24,32.760000000000005,161.72,132.85999999999999,117.25999999999999,132.34,168.74,55.38,40.56,94.38,145.34,179.66,228.28,208.52,163.02,231.66,212.68,155.74,236.34,145.34,257.66,217.88000000000005,165.36,234.00000000000003,123.5,12.48,0.0,62.66,251.16000000000005,236.08000000000004,149.23999999999998,207.48000000000002,157.82000000000002,151.84,171.85999999999999,184.33999999999997,212.16000000000003,193.96000000000004,196.3,203.57999999999998,114.4,215.28000000000003,41.08,42.120000000000005,140.39999999999998,95.67999999999999,117.0,111.8,99.32,224.38000000000002,173.42000000000002,221.78000000000003,190.32,224.38000000000002,216.58,208.0,227.76000000000002
Perpignan,136.23999999999998,212.16,113.88,83.98,88.92,121.94,74.1,227.23999999999998,34.84,177.32,18.98,52.78,67.6,205.40000000000003,67.08,113.88000000000001,119.86000000000001,137.28,87.36,228.28,237.89999999999998,171.6,213.97999999999996,117.0,91.26,177.06000000000003,73.84,199.94000000000003,179.92000000000002,208.78000000000003,38.74,36.14,53.3,88.14000000000001,26.0,196.55999999999997,137.8,157.56,89.44,157.04000000000002,79.03999999999999,162.76000000000002,101.91999999999999,86.32,164.58,161.46,62.14,64.74000000000001,63.44,171.07999999999998,220.48,210.07999999999998,190.32,188.76,213.45999999999998,194.48,187.98000000000002,218.14,127.14,239.46,223.33999999999997,191.10000000000002,234.51999999999998,105.3,75.14,62.66,0.0,232.96000000000006,217.88000000000005,118.29999999999998,189.28000000000003,139.62,177.58,100.1,112.58,193.95999999999998,213.72000000000003,178.1,198.38,139.36,231.14,37.96,48.88,96.46,51.74,141.18,137.54,104.52,206.18000000000004,155.22,203.58000000000004,185.12,206.17999999999998,198.38,189.79999999999998,209.55999999999997
Strasbourg,91.26,85.8,119.08,181.74,162.5,220.74,154.7,61.36,234.26000000000002,66.56,222.56,180.18,183.04,144.82,165.88,182.52,205.92000000000002,123.75999999999999,154.44,327.08000000000004,342.68,67.86000000000001,190.84,143.78,175.24,55.900000000000006,146.64,134.67999999999998,125.84,218.92000000000002,181.73999999999998,218.14000000000001,231.14000000000001,207.48000000000002,206.96,183.56,142.48,141.7,132.34,75.92,231.92000000000002,128.95999999999998,124.53999999999999,140.14,181.22,116.47999999999999,200.2,208.0,163.01999999999998,165.62,159.12,65.0,60.58,165.62,30.42,49.400000000000006,205.66,25.74,112.32000000000002,100.88,114.92,159.89999999999998,108.16,127.66,263.64000000000004,251.16000000000003,232.96,0.0,15.08,108.16,43.68000000000001,93.34,148.46,121.68,109.2,101.92,130.51999999999998,87.88,107.12,191.36,109.19999999999999,203.58,209.04000000000002,211.89999999999998,168.73999999999998,187.2,174.72,160.42000000000002,34.32,88.66,29.380000000000003,94.89999999999999,105.56,96.72,95.16,115.69999999999999
Colmar,76.18,99.83999999999999,104.0,166.66000000000003,147.42000000000002,205.66000000000003,139.62,76.44,219.18000000000004,80.6,207.48000000000002,165.10000000000002,167.96,158.85999999999999,150.8,167.43999999999997,194.74,116.48,139.36,312.0,327.6,52.78,204.88,128.7,160.16000000000003,40.82,131.56,148.71999999999997,139.88,232.95999999999998,166.66,203.06000000000003,216.06000000000003,192.39999999999998,191.88000000000002,197.6,135.2,144.3,117.26,60.84,216.83999999999997,140.66,109.46000000000001,125.06,179.92000000000002,107.38,185.12,192.92000000000002,147.94,164.32000000000002,173.16,79.03999999999999,53.82,182.00000000000003,44.459999999999994,63.44,203.32000000000002,40.82,97.24000000000001,115.96000000000001,128.95999999999998,173.93999999999997,122.19999999999999,112.58,248.56000000000003,236.08000000000004,217.88000000000002,15.08,0.0,93.08000000000001,28.6,78.26,162.5,106.60000000000001,94.12,115.96,144.55999999999997,101.91999999999999,121.16,180.18,123.23999999999998,188.50000000000003,193.96000000000004,196.82,153.66,198.64000000000001,163.54,145.33999999999997,28.08,79.56,14.3,108.93999999999998,119.6,110.75999999999999,109.19999999999999,129.73999999999998
Lyon,17.94,107.12,39.0,82.67999999999999,63.44,121.67999999999999,46.54,122.46000000000001,132.34,72.28,120.64,78.25999999999999,74.88000000000001,138.06,72.28,102.44,129.74,62.4,56.42,228.01999999999998,243.62,49.92,153.14,63.7,77.22,52.260000000000005,38.480000000000004,125.05999999999999,105.03999999999999,172.12,73.58000000000001,116.22,129.22,100.1,92.3,135.72,81.12,90.22,33.28,32.24,148.72,86.58,16.38,31.979999999999997,125.83999999999999,86.58,105.03999999999999,122.97999999999999,54.86,110.24,152.36,105.3,68.64,127.91999999999999,97.75999999999999,89.7,149.23999999999998,105.56,52.26,134.42000000000002,118.3,123.75999999999999,129.48000000000002,29.64,161.72,149.24,118.3,108.16,93.08,0.0,64.48,14.82,110.24,22.62,35.1,88.92,138.83999999999997,73.06,93.34,115.18,126.1,101.66,107.11999999999999,103.74000000000001,60.580000000000005,133.64000000000001,98.54,80.34,81.38,50.18,78.78,80.08,101.14,93.34,84.76,104.52
Vesoul,47.58,82.68,75.4,138.06,118.82,177.06,111.02,76.69999999999999,190.58,63.44,178.88,136.5,139.36,141.70000000000002,122.2,138.84,166.14,87.88,110.76,283.4,299.0,24.18,178.62,100.10000000000001,131.56,12.22,102.96000000000001,131.56,97.24000000000001,197.6,138.06,174.46,187.46,163.8,163.28,161.2,106.6,115.69999999999999,88.66,32.24,188.24,112.06,80.86,96.46,151.32,78.78,156.52,164.32,119.33999999999999,135.72,156.00000000000003,61.88,25.22,153.4,33.28,46.28,174.72,41.08,68.64,116.22,111.80000000000001,156.78,105.04,83.98,219.96,207.48000000000002,189.28,43.68,28.6,64.48,0.0,49.660000000000004,135.72,78.0,65.52,89.7,127.4,73.84,94.12,151.57999999999998,106.08000000000001,159.9,165.36,168.22000000000003,125.06,170.04,134.94,116.74000000000001,16.9,50.96,14.3,80.86,102.44,93.6,85.54,112.58000000000001
Mâcon,17.94,92.3,25.74,97.49999999999999,78.25999999999999,136.5,61.36,107.63999999999999,140.92,57.46,129.21999999999997,86.83999999999999,89.7,124.8,72.53999999999999,89.18,116.48,49.14,61.1,242.84,258.44,35.1,139.88,50.44,81.9,37.44,53.3,111.8,91.78,158.86,88.4,124.79999999999998,137.79999999999998,114.14000000000001,113.61999999999999,122.46000000000001,67.86,76.96000000000001,48.099999999999994,17.42,138.58,73.32,31.2,46.8,112.58,73.32,106.85999999999999,114.66,69.67999999999999,96.98,139.1,90.47999999999999,53.82,114.66,82.94,74.88,135.98,90.74000000000001,39.0,119.6,103.47999999999999,110.5,114.66,34.32,170.29999999999998,157.82,139.62,93.33999999999999,78.25999999999999,14.82,49.66,0.0,96.98,37.44,35.88,74.1,125.58,58.239999999999995,78.52,101.92,111.27999999999999,110.23999999999998,115.69999999999999,118.56,75.4,120.38,85.28,67.08,66.56,35.36,63.959999999999994,65.25999999999999,86.32,78.52,69.94,89.69999999999999
Le Mans,114.92,87.62,71.24000000000001,203.06,183.82,242.06,137.02,114.14,156.78000000000003,82.94,157.82000000000002,124.8,173.68,27.82,110.5,62.92,60.059999999999995,47.84,90.22,348.4,343.98,111.53999999999999,51.74,68.38,85.54,130.51999999999998,127.66,38.739999999999995,22.62,70.72,164.32,140.66000000000003,131.82,87.88,151.57999999999998,34.32,47.58,20.02,143.52,114.4,112.32,32.76,105.56,108.94000000000001,32.76,41.08,114.66000000000001,111.28,131.82000000000002,17.16,42.120000000000005,83.46000000000001,120.12,17.16,118.04,99.06,56.42,122.72,67.08,94.64,66.04,13.52,82.16,79.82000000000001,132.6,151.84,177.57999999999998,148.46,162.5,110.24000000000001,135.72,96.98,0.0,132.86,132.86,53.56,42.120000000000005,61.620000000000005,41.34,48.879999999999995,63.440000000000005,141.44,127.92000000000002,202.54000000000002,159.38,38.739999999999995,40.04,73.06,134.42000000000002,68.9,150.02,54.6,47.84,56.68000000000001,53.300000000000004,57.72
