Ciudad,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry-Courcouronnes,Nanterre,Bobigny,Créteil,Cergy
Rennes,41.900000000000006,14.7,29.4,22.599999999999998,29.4,20.5,29.4,14.7,26.5,40.2,29.6,0.0,3.4,0.0,0.0,12.7,3.3000000000000003,29.4,0.0,20.5,25.4,29.4,0.0,0.0,12.7,37.4,49.2,2.4,23.0,0.0,3.4,20.3,33.8,21.8,0.0,0.0,15.299999999999999,12.7,55.1,40.5,39.3,19.6,40.2,29.4,0.0,26.200000000000003,12.7,33.8,0.0,0.0,0.0,23.9,23.9,2.2,23.9,23.9,0.0,14.7,29.4,13.100000000000001,0.0,14.600000000000001,13.100000000000001,29.4,54.9,33.8,17.4,27.9,23.9,35.0,37.4,32.6,11.100000000000001,48.4,51.2,5.4,0.0,31.0,31.0,12.7,5.2,17.1,17.1,3.4,5.699999999999999,2.2,0.0,0.0,23.9,33.6,37.4,31.0,5.4,5.4,31.0,5.4
Châteauroux,15.700000000000001,26.6,3.2,7.7,3.2,8.7,3.2,18.0,13.8,7.4,11.9,0.0,18.8,19.299999999999997,0.0,0.0,5.6,3.2,0.0,8.7,40.8,3.2,15.299999999999999,0.0,0.0,11.2,23.0,11.7,11.7,15.299999999999999,3.4,7.6000000000000005,0.0,0.0,0.0,15.299999999999999,0.0,2.6,28.900000000000002,14.3,17.5,0.0,14.0,3.2,25.7,6.6,0.0,0.0,3.2,15.299999999999999,19.299999999999997,14.5,11.100000000000001,15.299999999999999,14.5,14.5,25.7,21.3,3.2,37.7,23.900000000000002,19.299999999999997,36.8,3.2,33.1,0.0,17.4,18.5,14.299999999999999,8.8,11.2,6.4,15.299999999999999,22.200000000000003,25.0,19.6,14.1,19.6,19.6,5.6,19.3,0.0,4.4,18.8,13.600000000000001,10.6,0.0,0.0,11.2,7.4,11.2,19.6,26.200000000000003,19.6,19.6,19.6
Tours,29.2,33.5,16.7,21.2,16.7,22.2,16.7,33.5,26.5,35.7,29.6,12.7,32.300000000000004,16.7,12.7,12.7,18.299999999999997,16.7,12.7,22.2,54.300000000000004,16.7,12.7,2.6,12.7,24.7,36.5,16.7,18.6,12.7,16.099999999999998,20.3,24.7,12.7,12.7,12.7,2.6,0.0,42.4,27.799999999999997,30.2,6.9,27.5,16.7,23.1,13.5,12.7,24.7,16.7,12.7,16.7,45.3,24.6,12.7,42.800000000000004,42.800000000000004,23.1,49.6,16.7,29.799999999999997,16.7,16.7,29.799999999999997,16.7,45.8,24.7,30.099999999999998,46.800000000000004,27.8,22.299999999999997,24.7,19.9,12.7,35.699999999999996,38.5,26.5,16.7,26.5,26.5,18.299999999999997,21.9,17.1,17.1,32.300000000000004,27.1,25.1,12.7,12.7,24.7,20.9,24.7,26.5,33.1,26.5,26.5,19.7
Grenoble,21.6,62.1,25.700000000000003,4.5,0.0,5.5,13.0,45.0,56.0,47.6,47.4,13.0,29.599999999999998,59.10000000000001,13.0,30.000000000000004,35.6,25.700000000000003,43.400000000000006,5.5,8.9,33.6,55.10000000000001,30.000000000000004,52.00000000000001,26.900000000000002,11.3,37.50000000000001,37.50000000000001,55.10000000000001,26.7,14.7,13.0,63.60000000000001,30.099999999999998,55.10000000000001,28.900000000000002,42.400000000000006,0.0,26.900000000000002,22.700000000000003,32.400000000000006,20.3,13.0,65.50000000000001,32.400000000000006,13.0,20.1,13.0,55.10000000000001,59.10000000000001,41.5,41.5,55.10000000000001,26.900000000000002,41.5,65.50000000000001,26.900000000000002,25.700000000000003,73.2,59.4,59.10000000000001,72.3,31.1,15.0,13.0,47.5,30.000000000000004,30.000000000000004,20.1,26.900000000000002,26.1,55.10000000000001,6.7,12.3,55.1,39.900000000000006,55.1,55.1,35.6,65.3,13.0,13.0,22.5,24.4,40.6,30.000000000000004,30.000000000000004,26.900000000000002,47.6,26.900000000000002,55.1,55.1,55.1,55.1,55.1
Lons-le-Saunier,5.3,23.8,11.100000000000001,31.400000000000002,26.900000000000002,32.400000000000006,26.8,18.1,19.0,22.4,23.0,11.100000000000001,41.2,35.3,11.100000000000001,15.400000000000002,21.0,11.100000000000001,23.400000000000002,32.400000000000006,35.800000000000004,6.7,40.5,15.400000000000002,32.0,0.0,22.9,32.9,58.0,40.5,38.3,12.8,11.100000000000001,15.400000000000002,11.100000000000001,40.5,14.3,27.8,26.900000000000002,0.0,32.900000000000006,17.8,13.9,13.9,50.9,52.9,11.100000000000001,32.0,13.9,40.5,35.3,14.600000000000001,14.600000000000001,40.5,0.0,14.600000000000001,50.9,0.0,11.100000000000001,18.1,34.199999999999996,44.5,34.0,11.100000000000001,13.100000000000001,11.100000000000001,28.5,3.1,3.1,13.9,0.0,7.9,40.5,20.200000000000003,14.600000000000001,29.9,35.3,29.9,29.9,21.0,33.3,11.100000000000001,11.100000000000001,41.2,36.0,26.0,15.400000000000002,15.400000000000002,0.0,22.4,0.0,29.9,29.9,29.9,29.9,29.9
Mont-de-Marsan,34.3,63.7,21.8,49.199999999999996,55.0,47.1,9.7,63.7,6.2,21.8,9.3,9.7,30.0,46.9,2.6,17.5,36.0,26.3,11.2,47.1,52.0,21.8,39.300000000000004,17.5,2.6,32.9,11.399999999999999,46.9,48.800000000000004,39.300000000000004,30.0,0.0,0.0,17.5,26.6,39.300000000000004,17.5,30.2,22.7,32.9,0.0,37.1,9.7,9.7,39.300000000000004,43.7,2.6,2.6,9.7,17.5,39.300000000000004,75.5,29.700000000000003,17.5,28.9,28.9,39.300000000000004,35.699999999999996,21.8,60.0,46.9,46.9,60.0,23.5,15.6,17.6,21.200000000000003,36.0,36.0,9.7,32.9,25.0,42.9,23.1,43.599999999999994,56.7,46.9,56.7,56.7,17.5,52.1,1.7,9.7,30.0,32.3,37.1,17.5,17.5,32.9,21.8,32.9,56.7,63.300000000000004,56.7,56.7,49.9
Blois,19.200000000000003,26.6,6.7,11.2,6.7,12.2,6.7,26.6,13.8,28.8,11.9,0.0,22.3,23.6,0.0,19.6,25.200000000000003,6.7,0.0,12.2,44.3,6.7,19.6,0.0,0.0,14.7,26.5,11.7,11.7,19.6,6.7,7.6000000000000005,0.0,19.6,0.0,19.6,0.0,6.9,32.400000000000006,17.8,37.1,0.0,17.5,6.7,30.0,6.6,0.0,0.0,6.7,19.6,23.6,38.400000000000006,14.600000000000001,19.6,35.9,35.9,30.0,42.699999999999996,6.7,37.7,23.900000000000002,23.6,36.8,6.7,52.7,0.0,17.4,39.9,17.8,12.3,14.7,9.9,19.6,25.700000000000003,28.500000000000004,19.6,14.1,19.6,19.6,25.200000000000003,19.3,0.0,4.4,22.3,17.1,32.0,19.6,0.0,35.9,37.1,14.7,19.6,26.200000000000003,19.6,19.6,19.6
Saint-Étienne,9.3,25.3,10.8,24.8,20.3,25.8,12.9,32.0,7.9,10.8,11.9,0.0,27.3,44.2,0.0,23.1,20.700000000000003,10.8,23.1,25.8,49.3,20.6,40.2,15.100000000000001,31.700000000000003,13.9,9.0,22.6,22.6,40.2,24.400000000000002,1.7,0.0,43.300000000000004,13.8,40.2,14.0,27.5,20.3,13.9,9.7,17.5,0.0,0.0,50.6,17.5,0.0,7.1,0.0,40.2,44.2,28.5,28.5,40.2,13.9,28.5,50.6,13.9,10.8,36.4,22.6,44.2,35.5,10.8,2.0,0.0,31.2,17.0,17.0,0.0,13.9,6.0,40.2,13.4,19.0,18.3,25.0,18.3,18.3,20.700000000000003,28.5,0.0,0.0,27.3,22.1,25.700000000000003,15.100000000000001,23.1,13.9,10.8,13.9,18.3,18.3,18.3,18.3,18.3
Le Puy-en-Velay,9.3,14.5,0.0,4.5,0.0,5.5,0.0,10.6,7.9,0.0,11.9,0.0,15.600000000000001,33.4,0.0,0.0,4.6,0.0,0.0,5.5,37.6,20.6,29.4,4.3,8.6,13.9,1.7,11.8,11.8,29.4,0.0,1.7,0.0,20.2,13.8,29.4,3.2,16.7,13.0,13.9,9.7,6.7,0.0,0.0,39.8,6.7,0.0,7.1,0.0,29.4,33.4,7.1,28.5,29.4,13.9,7.1,39.8,13.9,0.0,25.6,11.8,33.4,24.7,0.0,2.0,0.0,31.2,17.0,17.0,0.0,13.9,6.0,29.4,13.4,19.0,7.5,14.200000000000001,7.5,7.5,9.899999999999999,17.7,0.0,0.0,15.600000000000001,10.4,14.899999999999999,4.3,0.0,13.9,0.0,13.9,7.5,7.5,7.5,7.5,7.5
Nantes,52.3,14.7,39.8,35.3,39.8,33.2,39.8,14.7,26.5,49.7,29.6,12.7,16.099999999999998,0.0,12.7,12.7,3.3000000000000003,39.8,12.7,33.2,38.099999999999994,39.8,0.0,18.299999999999997,12.7,47.8,59.599999999999994,24.6,32.5,0.0,16.099999999999998,20.3,33.8,21.8,12.7,0.0,25.700000000000003,23.1,65.5,50.9,39.3,30.0,50.599999999999994,39.8,0.0,36.6,12.7,33.8,12.7,10.4,0.0,57.0,47.699999999999996,10.4,57.0,57.0,0.0,14.7,39.8,13.100000000000001,0.0,24.6,13.100000000000001,39.8,54.9,33.8,41.5,61.0,50.9,45.4,47.8,43.0,20.6,58.8,61.599999999999994,40.5,0.0,40.5,40.5,12.7,5.2,17.1,17.1,16.099999999999998,18.4,2.2,18.299999999999997,12.7,47.8,44.0,47.8,40.5,47.1,47.1,40.5,27.6
Orléans,19.200000000000003,20.0,6.7,11.2,6.7,12.2,6.7,20.0,14.600000000000001,22.2,18.6,6.7,22.3,7.5,6.7,26.2,31.799999999999997,6.7,15.5,12.2,44.3,40.5,26.2,15.5,15.5,48.5,26.5,5.1,5.1,26.2,6.7,8.4,15.5,26.2,6.7,26.2,6.6,13.5,32.400000000000006,52.9,43.7,6.6,17.5,6.7,36.6,0.0,6.7,15.5,6.7,26.2,7.5,31.8,48.4,25.9,29.299999999999997,29.299999999999997,36.6,36.099999999999994,6.7,31.1,17.3,21.0,30.2,6.7,59.300000000000004,15.5,24.099999999999998,33.3,51.6,12.3,48.5,9.9,17.0,25.700000000000003,28.500000000000004,13.0,7.5,13.0,13.0,31.799999999999997,12.7,6.7,6.7,22.3,17.1,38.6,26.2,15.5,29.299999999999997,30.5,48.5,13.0,19.6,13.0,13.0,13.0
Cahors,9.3,14.5,0.0,22.599999999999998,28.4,20.5,0.0,10.6,13.8,0.0,16.900000000000002,0.0,3.4,29.4,0.0,0.0,4.6,0.0,0.0,20.5,25.4,0.0,12.7,0.0,0.0,11.100000000000001,1.7,29.4,11.8,12.7,3.4,7.6000000000000005,4.4,12.0,0.0,12.7,0.0,12.7,13.0,11.100000000000001,2.6,0.0,0.0,0.0,12.7,6.7,0.0,0.0,0.0,0.0,12.7,7.1,7.9,0.0,7.1,7.1,12.7,13.899999999999999,0.0,25.6,11.8,29.4,24.7,0.0,6.4,4.4,28.800000000000004,14.200000000000001,14.200000000000001,0.0,11.100000000000001,3.2,25.4,13.4,19.0,7.5,29.4,7.5,7.5,0.0,34.6,4.4,4.4,3.4,5.699999999999999,5.0,0.0,0.0,11.100000000000001,0.0,11.100000000000001,7.5,7.5,7.5,7.5,7.5
Agen,16.4,35.4,20.9,29.7,35.5,27.6,7.1,31.5,16.5,20.9,19.6,7.1,10.5,41.4,0.0,12.0,30.5,8.8,8.6,27.6,32.5,20.9,33.800000000000004,0.0,0.0,32.0,8.799999999999999,41.4,20.6,33.800000000000004,10.5,10.3,0.0,12.0,7.1,33.800000000000004,0.0,24.7,20.1,32.0,2.6,0.0,7.1,7.1,33.800000000000004,15.5,0.0,0.0,7.1,12.0,33.800000000000004,28.0,28.799999999999997,12.0,28.0,28.0,33.800000000000004,34.8,20.9,54.5,41.4,41.4,54.5,20.9,2.0,0.0,31.5,35.1,35.1,7.1,32.0,24.099999999999998,37.4,20.5,26.1,28.5,41.4,28.4,28.5,12.0,46.6,7.1,7.1,10.5,12.8,31.6,12.0,0.0,32.0,20.9,32.0,28.5,35.1,28.5,28.5,44.4
Mende,9.3,14.5,0.0,19.2,0.0,17.1,0.0,10.6,7.9,0.0,11.9,0.0,0.0,33.4,0.0,0.0,4.6,0.0,0.0,17.1,22.0,20.6,0.0,0.0,0.0,13.9,1.7,11.8,11.8,12.7,0.0,1.7,0.0,19.1,13.8,0.0,3.2,16.7,13.0,13.9,9.7,6.7,0.0,0.0,12.7,6.7,0.0,7.1,0.0,0.0,0.0,7.1,28.5,0.0,13.9,7.1,12.7,13.9,0.0,25.6,11.8,33.4,24.7,0.0,2.0,0.0,31.2,17.0,17.0,0.0,13.9,6.0,29.4,13.4,19.0,7.5,14.200000000000001,7.5,7.5,0.0,17.7,0.0,0.0,0.0,2.3,5.0,0.0,0.0,13.9,0.0,13.9,7.5,7.5,7.5,7.5,7.5
Angers,41.900000000000006,17.2,29.4,22.599999999999998,29.4,20.5,29.4,17.2,13.8,39.3,16.900000000000002,0.0,3.4,14.2,0.0,0.0,13.5,29.4,0.0,20.5,25.4,29.4,0.0,0.0,0.0,37.4,49.2,14.2,22.1,0.0,3.4,7.6000000000000005,12.0,0.0,0.0,0.0,15.299999999999999,12.7,55.1,40.5,17.5,19.6,40.2,29.4,10.4,26.200000000000003,0.0,12.0,0.0,0.0,0.0,46.6,37.3,0.0,46.6,46.6,10.4,53.4,29.4,27.299999999999997,14.2,14.2,27.299999999999997,29.4,33.1,12.0,17.4,50.6,40.5,35.0,37.4,32.6,10.2,48.4,51.2,30.1,14.2,30.1,30.1,15.4,19.4,4.4,4.4,3.4,5.699999999999999,12.4,0.0,0.0,37.4,33.6,37.4,30.1,36.7,36.7,30.1,17.2
Saint-Lô,45.900000000000006,14.7,33.4,22.599999999999998,33.4,20.5,33.4,14.7,26.5,14.6,29.6,0.0,3.4,0.0,0.0,12.7,3.3000000000000003,33.4,0.0,20.5,25.4,22.9,0.0,0.0,12.7,30.9,53.2,2.4,2.4,0.0,3.4,20.3,33.8,21.8,0.0,0.0,19.3,16.7,59.1,35.3,39.3,23.6,44.2,33.4,0.0,7.5,12.7,33.8,0.0,0.0,0.0,23.9,23.9,0.0,23.9,23.9,0.0,14.7,33.4,13.100000000000001,0.0,0.0,13.100000000000001,33.4,54.9,33.8,17.4,27.9,23.9,39.0,23.9,36.6,4.0,52.4,55.2,5.4,0.0,5.4,12.0,12.7,5.2,17.1,17.1,3.4,5.699999999999999,2.2,0.0,0.0,23.9,12.9,23.9,5.4,5.4,5.4,5.4,5.4
Châlons-en-Champagne,19.900000000000002,9.2,7.1,46.00000000000001,41.50000000000001,47.00000000000001,7.1,3.0,15.0,7.1,19.0,7.1,22.7,23.9,7.1,58.0,63.6,11.3,19.4,47.00000000000001,50.400000000000006,7.9,23.9,11.399999999999999,28.0,0.0,37.5,12.2,24.5,23.9,7.1,8.799999999999999,7.1,58.0,7.1,23.9,14.5,45.3,41.50000000000001,14.600000000000001,75.5,38.4,28.5,7.1,56.99999999999999,31.8,7.1,28.0,7.1,46.599999999999994,23.9,0.0,0.0,45.3,0.0,0.0,23.9,6.8,7.1,20.299999999999997,9.2,12.2,19.4,7.1,9.1,7.1,24.5,4.0,0.0,28.5,0.0,22.5,36.4,34.800000000000004,29.200000000000003,16.5,23.9,18.8,16.5,63.6,18.7,7.1,7.1,22.7,17.5,58.99999999999999,58.0,11.399999999999999,0.0,7.1,0.0,18.8,16.5,16.5,16.5,9.2
Chaumont,19.900000000000002,9.2,7.9,46.00000000000001,41.50000000000001,47.00000000000001,41.4,3.5,15.8,7.1,19.8,7.9,55.800000000000004,23.9,7.9,12.2,16.700000000000003,7.9,20.200000000000003,47.00000000000001,50.400000000000006,7.9,23.9,12.2,28.800000000000004,0.0,37.5,12.2,24.5,23.9,52.9,9.6,7.9,12.2,7.9,23.9,11.100000000000001,24.6,41.50000000000001,14.600000000000001,29.7,14.600000000000001,28.5,28.5,47.699999999999996,48.4,7.9,28.800000000000004,28.5,37.3,23.9,0.0,0.0,45.3,0.0,0.0,23.9,6.8,7.9,3.5,9.2,12.2,19.4,7.9,9.9,7.9,25.299999999999997,7.3,3.1,28.5,0.0,22.5,36.4,34.800000000000004,29.200000000000003,16.5,23.9,16.299999999999997,16.5,16.700000000000003,18.7,7.9,7.9,55.800000000000004,50.6,49.699999999999996,11.100000000000001,12.2,3.3,17.9,0.0,16.299999999999997,16.5,16.5,16.5,9.2
