funcion,nombre_funcion,corrida,semilla,metodo,dimension,limites,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones,parametros
rastrigin,Rastrigin,47,2198,gradient,2,"[-5.12, 5.12]","[-3.0201655157792584, -3.5324299233027263]","[-2.9848557023690994, -3.9797823709485947]",24.873845034385084,34,36,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,48,2199,gradient,2,"[-5.12, 5.12]","[-3.9413558355895635, -3.8510546208960728]","[-3.9797836169616945, -3.9797828963394077]",31.83848758511759,24,26,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,49,2200,gradient,2,"[-5.12, 5.12]","[2.698948383593887, -2.2294243683706942]","[2.984854331092124, -1.989912905770093]",12.934432432501183,26,28,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,50,2192,gradient,2,"[-5.12, 5.12]","[-4.188915575122203, 3.048359378384643]","[-3.979784769392561, 2.9848559223236713]",24.873845034120862,25,27,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,51,2193,gradient,2,"[-5.12, 5.12]","[5.112702735250417, 0.09211610175106255]","[4.974692309602916, 5.257436165265502e-07]",24.873722934762412,24,26,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,52,2194,gradient,2,"[-5.12, 5.12]","[1.1492268388793203, -4.077335604269637]","[0.9949595989803598, -3.979784456470309]",16.91420284980802,24,26,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,53,2195,gradient,2,"[-5.12, 5.12]","[-4.77270281365739, -4.220617646942238]","[-4.97469059653605, -3.979784548171002]",40.792966727220495,26,28,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,54,2196,gradient,2,"[-5.12, 5.12]","[4.407337484546232, -3.858631711137389]","[3.9797851639863993, -3.9797837399339904]",31.838487585260403,28,30,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,55,2197,gradient,2,"[-5.12, 5.12]","[-2.0564115806261225, 3.5996234429140648]","[-1.9899122636700122, 3.9797825965991036]",19.899074983330078,29,31,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,56,2198,gradient,2,"[-5.12, 5.12]","[-3.0201655157792584, -3.5324299233027263]","[-2.9848557023690994, -3.9797823709485947]",24.873845034385084,34,36,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,57,2199,gradient,2,"[-5.12, 5.12]","[-3.9413558355895635, -3.8510546208960728]","[-3.9797836169616945, -3.9797828963394077]",31.83848758511759,24,26,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
