Metodo,Mejor valor,Promedio valor,Mediana valor,Promedio evaluaciones,Promedio iteraciones,Mejor en valor,Mejor en evaluaciones
PSO,5.406786129924512e-14,0.0025829051566593,7.70657238025052e-09,7050.0,140.0,Si,
Evolucion diferencial,1.158517910493373e-07,0.0036722093237898,0.0022482433547302,7050.0,140.0,,
Descenso por gradiente,9.844837389749728e-09,0.0205159642653688,0.027125394235798,1741.053,1739.053,,Si
Algoritmo evolutivo,0.0234077656466659,0.1826171911594568,0.1507368415485686,7050.0,140.0,,
