Metodo,Mejor valor,Promedio valor,Mediana valor,Promedio evaluaciones,Promedio iteraciones,Mejor en valor,Mejor en evaluaciones
PSO,-1.0316284534898772,-1.0316284534898672,-1.0316284534898734,4840.0,120.0,Si,
Evolucion diferencial,-1.0316284534898774,-1.0316284534565283,-1.0316284534898768,4840.0,120.0,Si,
Algoritmo evolutivo,-1.0315852013658555,-1.0294171286830551,-1.0300927452912587,4840.0,120.0,,
Descenso por gradiente,-1.0316283939615924,-0.1148797477671514,-1.0316283897606628,986.337,984.337,,Si
