funcion,nombre_funcion,metodo,nombre_metodo,dimension,n_corridas,mejor_valor,peor_valor,promedio_valor,mediana_valor,desviacion_valor,mejor_distancia_al_optimo,promedio_distancia_al_optimo,promedio_evaluaciones,mediana_evaluaciones,promedio_iteraciones,mediana_iteraciones
griewank,Griewank,ea,Algoritmo evolutivo,2,100,0.023407765646665912,0.5210730738558383,0.17452575665582895,0.20656790895754262,0.13199719220431383,6.229692542987652,16.089196929418065,7050.0,7050.0,140.0,140.0
griewank,Griewank,ea,Algoritmo evolutivo,2,500,0.023407765646665912,0.5210730738558383,0.1857834549642633,0.18615207972380077,0.10468209591743102,5.162394828208222,16.53485751778962,7050.0,7050.0,140.0,140.0
griewank,Griewank,ea,Algoritmo evolutivo,2,1000,0.023407765646665912,0.5210730738558383,0.18261719115945682,0.1507368415485686,0.11054619630186091,5.0067472106910245,16.300195191400054,7050.0,7050.0,140.0,140.0
griewank,Griewank,pso,PSO,2,100,5.4067861299245124e-14,0.009864672081278836,0.00446382298336825,0.0073960403342589465,0.0035998395722361474,3.533955481636154e-07,3.16534509690106,7050.0,7050.0,140.0,140.0
griewank,Griewank,pso,PSO,2,500,5.4067861299245124e-14,0.009864672081278836,0.003019031843103993,1.0079543533159097e-08,0.0035977447881449477,3.533955481636154e-07,2.1682481729881657,7050.0,7050.0,140.0,140.0
griewank,Griewank,pso,PSO,2,1000,5.4067861299245124e-14,0.009864672081278836,0.0025829051566593174,7.70657238025052e-09,0.003455395645651987,3.533955481636154e-07,1.8315819664029112,7050.0,7050.0,140.0,140.0
griewank,Griewank,de,Evolucion diferencial,2,100,1.158517910493373e-07,0.009843005450056452,0.0021504601638485366,0.0009047474647506659,0.0029694862039568544,0.0005087755680829428,0.7927932833442197,7050.0,7050.0,140.0,140.0
griewank,Griewank,de,Evolucion diferencial,2,500,1.158517910493373e-07,0.011953857048529581,0.003609394893466472,0.002248243354730284,0.003332596447641024,0.0005087755680829428,1.898333401265664,7050.0,7050.0,140.0,140.0
griewank,Griewank,de,Evolucion diferencial,2,1000,1.158517910493373e-07,0.011953857048529581,0.003672209323789836,0.002248243354730284,0.0034339625811378193,0.0005087755680829428,1.9177631129153851,7050.0,7050.0,140.0,140.0
griewank,Griewank,ea,Algoritmo evolutivo,3,100,0.043549398436153686,0.8356206346169396,0.31783111496419314,0.2457298553870172,0.24370494754176844,9.506654620193508,18.98810076810498,7050.0,7050.0,140.0,140.0
griewank,Griewank,ea,Algoritmo evolutivo,3,500,0.043549398436153686,0.8356206346169396,0.29429560823626594,0.24413076369934594,0.19570041262591498,6.579237720090259,21.24603550831416,7050.0,7050.0,140.0,140.0
griewank,Griewank,ea,Algoritmo evolutivo,3,1000,0.043549398436153686,0.8356206346169396,0.2801144304703706,0.24413076369934594,0.1768866405770861,6.579237720090259,21.374862786518023,7050.0,7050.0,140.0,140.0
griewank,Griewank,pso,PSO,3,100,3.0029423392363697e-11,0.04042804593315574,0.009002912745849972,0.007430406491618857,0.008314312253728938,7.909532264783635e-06,4.826982050386228,7050.0,7050.0,140.0,140.0
griewank,Griewank,pso,PSO,3,500,3.0029423392363697e-11,0.04928396526983625,0.015270494257631767,0.01172659280204047,0.01254026506558822,7.909532264783635e-06,6.6142669346527,7050.0,7050.0,140.0,140.0
griewank,Griewank,pso,PSO,3,1000,3.0029423392363697e-11,0.04928396526983625,0.015423132114591377,0.01172659280204047,0.012965474043179173,7.909532264783635e-06,6.580786380172348,7050.0,7050.0,140.0,140.0
griewank,Griewank,de,Evolucion diferencial,3,100,0.013143564296098087,0.08804942878145194,0.04517056305932907,0.0440302241835655,0.021108403227702868,0.20973231772194945,7.68923187505697,7050.0,7050.0,140.0,140.0
griewank,Griewank,de,Evolucion diferencial,3,500,0.008405471457940128,0.08804942878145194,0.04686344768003362,0.053710841855010405,0.020368387346990997,0.20973231772194945,9.12143604867138,7050.0,7050.0,140.0,140.0
griewank,Griewank,de,Evolucion diferencial,3,1000,0.008405471457940128,0.08804942878145194,0.04631191326567182,0.053710841855010405,0.02094723697777562,0.20973231772194945,9.169831412604916,7050.0,7050.0,140.0,140.0
